正股,金沙中國有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,34.7970,26.4248,22.4341,31.3656,31.5454
21/01/2021,35.2511,26.0302,22.2015,31.1171,32.2577
20/01/2021,35.2095,25.9551,22.2709,31.2475,32.2545
19/01/2021,34.4884,19.6087,20.7496,30.8812,31.9987
18/01/2021,35.9569,19.4032,21.6635,32.5222,32.1820
15/01/2021,33.8605,19.0154,22.4044,32.5222,32.2008
14/01/2021,34.3456,18.5337,23.3343,32.2562,32.2778
13/01/2021,34.4292,23.8162,23.9230,32.0227,32.3348
12/01/2021,34.7905,23.3153,26.5814,32.0679,32.5815
11/01/2021,35.3633,23.2101,26.4774,32.1324,32.5780
08/01/2021,34.0125,20.8153,25.0585,32.3806,32.1993
07/01/2021,34.9903,18.8377,24.5879,32.0971,32.2247
06/01/2021,34.9301,26.3487,24.6717,32.0664,32.3358
05/01/2021,34.0593,25.6074,26.7822,32.3304,32.3534
04/01/2021,34.8036,25.1775,26.7248,32.9670,32.5451
31/12/2020,34.8841,25.3721,26.7110,32.9836,32.6798
30/12/2020,33.8526,26.2989,26.6821,33.0364,34.3751
29/12/2020,33.4726,23.3317,25.7358,32.8043,34.1529
28/12/2020,33.4828,23.4366,27.6879,32.8280,34.1622
24/12/2020,32.3089,23.3703,27.6597,32.7959,34.2300
23/12/2020,32.1848,20.3576,27.9042,32.6228,34.1059
22/12/2020,32.8634,21.5621,28.6045,32.6835,34.1047
21/12/2020,32.0203,13.3586,32.4901,32.0652,33.7607
18/12/2020,28.0607,13.3519,33.5371,32.0637,33.8166
17/12/2020,28.9033,16.8631,33.4523,32.5546,37.2887
16/12/2020,29.6576,18.3764,34.1666,34.2107,37.3742
15/12/2020,30.1975,21.2230,34.1127,34.1178,37.3279
14/12/2020,30.2713,21.4206,34.3982,34.6475,37.2868
11/12/2020,29.9393,32.4793,34.4484,34.6934,37.3544
10/12/2020,29.9092,32.4861,35.8282,35.1635,37.4003
09/12/2020,30.0857,32.9887,36.7928,35.1638,37.4449
08/12/2020,30.1966,32.8561,37.0986,36.2442,37.4441
07/12/2020,31.1069,31.6738,37.3021,36.2090,37.4303
04/12/2020,31.3528,38.3114,37.3021,36.2159,37.4382
03/12/2020,32.4560,36.8925,39.3554,36.3167,37.3110
02/12/2020,34.0650,35.7278,39.2882,36.1960,37.2452
01/12/2020,34.3725,32.2500,38.8494,36.1069,37.7208
30/11/2020,35.0545,28.2347,38.4761,35.9867,37.4966
27/11/2020,34.2837,28.3370,35.9984,35.4049,36.9901
26/11/2020,34.4692,28.3673,36.3492,35.4391,36.9848
25/11/2020,34.4305,30.2828,38.1645,35.4297,37.2136
24/11/2020,35.1362,32.2138,38.1938,35.6254,37.2078
23/11/2020,35.0953,46.0083,38.2071,35.7313,37.1847
20/11/2020,33.3109,39.8330,37.0033,35.0202,36.7989
19/11/2020,33.7179,39.9103,38.3439,35.3073,37.6924
18/11/2020,34.2207,39.5993,38.4225,35.5009,37.7795
17/11/2020,36.8103,38.9926,38.4740,37.8396,37.7913
16/11/2020,37.3252,38.4188,38.6627,37.8410,37.8506
13/11/2020,34.9928,37.6843,37.6581,37.1963,37.4630
12/11/2020,35.3461,44.1667,37.6704,37.2888,38.1482
11/11/2020,36.0152,44.6064,36.9670,37.0366,38.1741
10/11/2020,33.8920,46.2147,36.7570,36.7684,38.4008
09/11/2020,32.5017,36.6252,31.7630,34.2534,36.7456
06/11/2020,31.5471,32.6584,30.1381,33.5905,36.3229
05/11/2020,30.5636,41.4271,30.9181,38.9626,36.5781
04/11/2020,31.8320,39.1702,32.3260,38.6331,36.2619
03/11/2020,33.3228,39.3165,32.2308,38.6243,36.3131
02/11/2020,34.9164,36.7422,31.2327,38.0902,35.9196
30/10/2020,35.0896,36.1992,30.4022,37.9664,36.1178
29/10/2020,35.5110,33.7038,31.5729,37.7076,35.8804
