正股,中國民生銀行股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,27.1339,30.9347,25.6670,28.1359,28.6626
21/01/2021,28.4746,22.4788,23.2965,27.3001,28.0804
20/01/2021,28.2127,21.3457,22.8592,27.7951,27.8417
19/01/2021,29.3860,17.8290,22.8076,27.7640,27.6627
18/01/2021,30.1832,19.2676,22.8244,28.0118,27.6861
15/01/2021,31.6701,20.7187,22.9924,28.2932,27.7026
14/01/2021,28.8266,16.4622,21.4564,28.5754,27.2611
13/01/2021,29.5662,16.4622,23.2465,28.9414,27.2632
12/01/2021,29.8295,16.2210,26.8502,29.9299,27.2835
11/01/2021,30.2119,20.4429,28.2414,29.9183,27.2429
08/01/2021,29.1384,20.3327,27.9252,29.6510,27.0786
07/01/2021,30.0447,29.1762,27.9583,29.6464,27.0795
06/01/2021,27.2650,30.1275,28.1270,30.4270,27.0935
05/01/2021,26.4812,29.7293,27.6711,30.3683,26.8384
04/01/2021,26.7330,30.0547,29.1410,30.4458,26.8382
31/12/2020,25.5703,29.7826,29.2007,30.9139,26.8357
30/12/2020,25.6406,29.9359,29.1415,30.8955,26.8151
29/12/2020,26.3387,30.2285,29.3295,31.1423,26.8564
28/12/2020,27.1850,30.0288,29.2944,31.3492,26.8798
24/12/2020,26.6988,25.8642,29.1526,30.7768,26.3285
23/12/2020,25.9386,22.4057,29.5305,30.4558,26.0809
22/12/2020,25.0428,16.7312,30.2098,29.8054,25.5314
21/12/2020,25.7129,16.3285,30.1178,29.8077,25.4823
18/12/2020,23.9073,16.3026,29.7416,29.6592,25.3948
17/12/2020,24.4892,16.2957,29.6560,29.6989,25.3339
16/12/2020,25.2292,16.6029,30.2634,29.8308,25.3641
15/12/2020,24.3206,15.5964,30.5805,29.8633,25.3137
14/12/2020,25.5407,22.9488,30.7610,29.8877,25.2976
11/12/2020,23.8778,32.4867,30.7610,29.9418,25.3006
10/12/2020,24.6481,36.3678,30.8902,29.8855,25.2813
09/12/2020,24.6272,36.9063,30.7668,30.0934,25.2627
08/12/2020,26.7409,36.8029,30.8438,30.0183,25.2427
07/12/2020,27.3235,36.8180,32.0995,29.9914,25.2725
04/12/2020,26.9170,35.4127,32.2448,29.7831,25.1125
03/12/2020,26.8655,39.5449,32.7005,29.8100,25.1537
02/12/2020,28.0143,39.6980,33.1514,29.8073,25.1421
01/12/2020,28.6953,39.6999,34.6368,29.8294,25.1416
30/11/2020,27.5530,36.3359,34.0089,29.0079,24.4893
27/11/2020,26.4351,27.3765,33.1206,27.6616,23.4306
26/11/2020,25.2745,27.2347,31.9906,26.7960,22.7733
25/11/2020,25.8558,28.5658,31.7615,26.6709,22.5773
24/11/2020,25.8314,35.4122,31.7180,26.6172,22.5490
23/11/2020,26.1903,35.6802,33.0248,26.5876,22.6072
20/11/2020,25.8582,35.1020,33.2712,26.4168,22.6855
19/11/2020,26.1534,31.6361,31.9884,25.7733,22.1725
18/11/2020,26.8749,32.6963,32.8907,25.7585,22.1602
17/11/2020,28.8494,34.2244,32.8903,25.7598,22.1859
16/11/2020,30.4303,34.4570,33.3136,25.6587,22.2438
13/11/2020,29.4763,34.4309,33.7675,25.6952,22.2750
12/11/2020,28.9227,31.1399,32.5532,25.0538,21.8576
11/11/2020,33.0625,24.6455,31.0114,24.3790,22.9874
10/11/2020,31.9854,19.7674,29.7856,23.1043,22.3502
09/11/2020,31.1326,25.6319,29.9800,23.0455,24.1250
06/11/2020,31.6760,27.5856,30.0804,23.0662,24.3771
05/11/2020,31.9586,29.6659,30.2331,23.0232,24.3695
04/11/2020,32.4877,29.6854,29.7474,22.5706,24.1488
03/11/2020,34.1018,33.2541,29.6326,22.3937,24.0351
02/11/2020,35.8183,34.7443,29.3860,22.1357,23.8689
30/10/2020,37.0376,39.8659,29.4637,22.1315,23.8775
29/10/2020,34.0670,38.6215,29.3122,22.1519,23.8397
