正股,碧桂園控股有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,38.0564,45.1530,34.4275,33.8795,33.4355
21/01/2021,40.3779,43.4355,33.6857,33.4425,33.0995
20/01/2021,40.6023,43.6709,33.5177,34.4100,33.0688
19/01/2021,41.0971,41.3962,33.0521,34.1798,32.8777
18/01/2021,34.8789,28.3470,28.3926,32.4121,31.1185
15/01/2021,31.3642,37.0811,28.3005,32.3621,31.0810
14/01/2021,34.1934,42.1179,28.2692,32.3422,31.0405
13/01/2021,35.8632,44.7154,28.1757,32.3589,31.2773
12/01/2021,36.2107,43.0513,28.8115,31.9860,31.0452
11/01/2021,37.2601,41.1474,28.9797,31.7875,30.8875
08/01/2021,34.6013,39.3939,27.9849,31.9445,30.7428
07/01/2021,33.9079,38.6514,27.2955,31.6758,30.5637
06/01/2021,33.6475,38.8717,27.1041,31.6204,30.8223
05/01/2021,33.4059,38.7672,27.1726,31.5778,30.8733
04/01/2021,33.9443,37.4759,27.4036,31.3313,30.9608
31/12/2020,32.1031,24.4893,22.9822,29.9818,29.7175
30/12/2020,30.7466,19.7793,20.8264,30.0943,29.4850
29/12/2020,30.1949,14.5658,19.0275,29.7740,29.1912
28/12/2020,30.0052,14.9326,19.7101,30.2825,29.2178
24/12/2020,29.4888,15.1166,19.6430,30.5806,29.2716
23/12/2020,29.3418,14.7822,20.0181,30.8550,29.3467
22/12/2020,30.4757,15.6134,20.4267,31.8782,29.2574
21/12/2020,30.5146,13.6220,20.2976,31.7513,29.1669
18/12/2020,29.6422,14.4884,20.6804,31.7089,29.1934
17/12/2020,29.9870,19.1619,20.5171,31.6918,29.3337
16/12/2020,28.5548,18.8704,32.4677,31.6389,29.2675
15/12/2020,30.1589,18.2530,32.6364,31.5984,29.2276
14/12/2020,28.8780,18.2530,33.9003,31.6343,29.2520
11/12/2020,27.0251,23.3288,33.8325,32.8437,29.2423
10/12/2020,27.7966,26.8558,33.8255,33.2048,29.3502
09/12/2020,27.5878,26.8564,33.8435,33.2203,29.3610
08/12/2020,29.3361,24.7711,33.7690,33.0684,29.2528
07/12/2020,30.4003,24.3611,35.7502,33.0905,29.2839
04/12/2020,30.4584,24.5490,35.7705,33.0231,29.2738
03/12/2020,31.5579,24.0711,36.3169,32.6001,28.9657
02/12/2020,32.2592,23.9730,36.1868,32.5485,28.9202
01/12/2020,32.8147,23.7229,36.2930,32.5328,29.0906
30/11/2020,33.7744,24.0246,36.3969,32.8803,29.0976
27/11/2020,33.6613,21.2162,35.0387,32.2252,28.9510
26/11/2020,31.5643,14.9927,34.8249,32.0265,28.6926
25/11/2020,31.8653,16.0367,35.9121,32.2291,29.0111
24/11/2020,31.3443,20.6471,35.9121,32.2285,29.0137
23/11/2020,31.6493,21.1984,35.9581,32.7125,29.2885
20/11/2020,34.0770,22.3820,35.7219,32.7211,29.1998
19/11/2020,31.0897,19.7112,34.9640,32.7444,29.0107
18/11/2020,31.9760,47.2169,35.7663,32.7341,29.0734
17/11/2020,33.5442,47.3077,36.8930,33.0652,29.4553
16/11/2020,35.7880,48.6022,37.2891,33.1681,29.4495
13/11/2020,34.3309,45.5426,37.1528,32.9224,29.3080
12/11/2020,36.1025,44.3123,37.6896,32.9822,29.3837
11/11/2020,36.8155,40.1739,37.1878,32.7906,31.6406
10/11/2020,32.7178,42.6652,39.3744,32.6108,32.1056
09/11/2020,32.8800,50.6467,39.3749,32.6074,33.1119
06/11/2020,33.1863,50.6522,39.3471,32.5935,33.1714
05/11/2020,34.6017,51.4962,39.3244,32.7684,33.2603
04/11/2020,30.2380,34.0389,31.2646,27.8203,30.1763
03/11/2020,32.5773,34.1829,31.0557,27.6555,30.0737
02/11/2020,32.9876,30.4873,29.7471,26.8611,29.5783
30/10/2020,31.8184,30.3775,32.2101,26.8490,29.6033
29/10/2020,30.8034,30.7604,33.0353,27.0475,29.5922
