正股,瑞聲科技控股有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,44.3477,44.5331,38.1602,35.2880,33.4685
21/01/2021,46.5346,41.0580,36.5965,34.3745,32.8775
20/01/2021,48.0179,40.8714,35.6161,34.1767,33.0961
19/01/2021,47.7411,39.6404,35.8190,33.8178,32.7909
18/01/2021,46.5885,36.9004,34.4582,33.1510,32.2747
15/01/2021,40.0686,31.7166,32.2648,32.3174,31.7685
14/01/2021,42.0143,27.6851,31.2457,31.8287,31.6514
13/01/2021,42.3262,27.4959,31.2221,32.1763,31.6966
12/01/2021,43.5619,25.9670,30.8303,32.0135,31.6583
11/01/2021,46.1345,25.6832,31.4816,32.0020,31.6488
08/01/2021,43.7929,40.6493,31.3330,32.0516,31.6272
07/01/2021,42.7086,40.2617,31.0918,31.6965,31.4826
06/01/2021,43.0927,39.9755,30.3858,31.2588,31.8533
05/01/2021,42.6521,42.4223,30.1451,31.5786,31.9200
04/01/2021,42.1177,41.9420,29.7254,31.6316,34.1834
31/12/2020,39.9779,40.9821,29.4622,32.0793,34.0677
30/12/2020,40.9961,43.3687,29.4500,33.3768,34.1836
29/12/2020,40.6945,43.2589,30.3316,33.3864,34.3074
28/12/2020,41.4330,43.0308,31.3966,33.4507,34.4470
24/12/2020,39.7269,42.2775,31.8357,33.3934,34.6350
23/12/2020,36.8784,27.0848,24.3158,30.3636,32.4714
22/12/2020,37.1547,27.4033,25.9412,30.4544,32.4580
21/12/2020,37.1226,25.0516,25.4895,30.9021,32.2696
18/12/2020,31.9420,25.7253,28.9137,30.5988,32.2903
17/12/2020,33.5847,25.7565,29.2258,30.5922,32.3730
16/12/2020,34.3074,25.3660,31.9007,31.2945,33.5858
15/12/2020,32.8633,17.8374,30.7193,30.7160,33.1939
14/12/2020,34.2650,18.8581,32.4218,30.8635,33.1669
11/12/2020,33.6997,18.8581,32.4229,30.8680,33.3277
10/12/2020,34.3903,24.7051,33.4184,30.8451,33.3076
09/12/2020,33.6885,21.7426,32.6848,30.9952,33.1778
08/12/2020,34.0505,21.9443,32.4511,30.9001,33.8116
07/12/2020,34.1548,23.6520,32.9475,31.6421,33.9467
04/12/2020,35.1833,19.0685,32.2361,31.3248,33.8497
03/12/2020,36.3824,19.1289,32.3567,31.3603,34.1206
02/12/2020,37.1490,20.9263,32.9089,31.7592,34.1252
01/12/2020,38.4665,20.5961,32.8924,32.0240,34.7171
30/11/2020,38.6892,24.2881,33.6214,32.0731,40.5735
27/11/2020,39.7518,28.0136,33.6509,32.1720,42.2788
26/11/2020,39.1246,25.8236,32.7644,31.6689,43.2947
25/11/2020,40.1890,26.0271,32.8570,31.6455,43.4338
24/11/2020,41.4725,29.8022,32.6472,31.7006,43.3889
23/11/2020,42.5778,26.6232,32.0764,32.4340,43.8563
20/11/2020,42.1787,39.4521,32.9258,32.7033,44.9085
19/11/2020,42.0613,39.7851,33.6462,36.0799,45.1817
18/11/2020,42.5528,46.5688,34.9798,36.1460,45.3003
17/11/2020,43.7910,46.7610,37.4036,36.2845,45.4412
16/11/2020,44.6452,47.3679,36.6561,36.2422,45.7557
13/11/2020,43.5622,43.4011,35.6480,36.0589,46.1960
12/11/2020,44.1087,46.7822,35.3148,36.0086,46.0694
11/11/2020,46.3621,46.9642,35.5482,36.0040,48.8594
10/11/2020,45.6914,42.1580,34.1772,35.4728,49.8084
09/11/2020,45.8287,42.7570,35.4946,35.3738,50.0446
06/11/2020,43.5829,36.4092,32.6665,33.8917,49.3711
05/11/2020,41.8365,35.6712,32.3255,33.9516,49.4324
04/11/2020,42.4266,28.5573,31.1545,34.2169,48.8783
03/11/2020,43.9516,27.7003,31.1708,34.2074,49.7125
02/11/2020,42.5456,23.7299,29.3136,33.0877,49.3509
30/10/2020,42.6761,24.1043,29.2668,33.3668,49.4737
29/10/2020,40.1305,21.1115,28.4231,33.1073,50.4542
