正股,安踏體育

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,43.1399,57.3876,42.7681,46.4734,43.1205
21/01/2021,42.7396,57.2877,42.7897,46.6193,43.1414
20/01/2021,44.1923,56.6083,41.8707,46.4923,42.8671
19/01/2021,44.3754,52.0489,41.2230,46.4797,42.3342
18/01/2021,42.3507,28.0257,33.8212,43.1605,39.9372
15/01/2021,40.6202,31.3304,34.0342,43.1679,40.0771
14/01/2021,42.3531,31.0005,33.9459,43.7661,40.2766
13/01/2021,42.2831,34.9443,36.0474,43.7795,40.5336
12/01/2021,44.1739,34.4585,36.8887,43.6256,40.5774
11/01/2021,43.6904,35.6767,36.5213,43.5450,40.4791
08/01/2021,44.3902,30.4212,36.1930,43.4314,42.1450
07/01/2021,45.5699,30.2901,41.4400,43.4497,42.1470
06/01/2021,44.6844,25.9568,40.9878,43.2466,42.1196
05/01/2021,43.9870,26.0388,40.6014,43.0689,42.8599
04/01/2021,44.9178,32.6339,40.7277,43.0867,42.7917
31/12/2020,43.4979,44.0662,40.3287,42.7437,42.7173
30/12/2020,43.1200,43.6503,41.3025,42.9756,42.7648
29/12/2020,41.5959,41.3199,41.3417,43.5022,42.3855
28/12/2020,41.8553,40.9225,44.6049,43.4609,42.4961
24/12/2020,40.8486,38.9858,43.8999,43.1453,42.2139
23/12/2020,41.7880,39.0398,46.2248,43.1412,42.2049
22/12/2020,41.2528,37.9166,49.2235,43.2989,42.4261
21/12/2020,40.4794,33.5524,48.3616,43.2268,42.3380
18/12/2020,36.7021,33.4650,47.7892,43.6642,42.1472
17/12/2020,37.3469,33.4656,48.9980,43.9113,42.8566
16/12/2020,36.9406,26.9305,48.4570,42.9680,42.1437
15/12/2020,37.3932,26.9210,50.1824,43.4669,42.1443
14/12/2020,37.2169,34.6997,50.0337,43.5997,42.2769
11/12/2020,37.4334,37.5309,49.9635,43.5600,42.5164
10/12/2020,38.1528,37.8107,50.5688,43.6156,42.4908
09/12/2020,38.2434,40.5062,50.6444,43.6335,42.6068
08/12/2020,38.9299,52.2384,50.8987,43.6527,42.6227
07/12/2020,39.5066,52.1428,51.3980,43.6508,42.6443
04/12/2020,40.5484,49.5838,51.8766,43.1684,42.2683
03/12/2020,40.1616,49.0945,51.3452,42.9154,42.2693
02/12/2020,41.1892,49.5957,51.2755,43.0477,42.1996
01/12/2020,41.7814,52.3907,52.2684,43.3658,42.6218
30/11/2020,41.8625,49.2939,50.9899,42.8350,42.0752
27/11/2020,41.2561,56.9900,50.0877,42.5902,41.8485
26/11/2020,42.4143,57.0678,50.2235,42.6119,41.9747
25/11/2020,40.9957,60.9636,50.1937,44.9481,41.7167
24/11/2020,40.9923,59.3446,46.0409,42.8337,40.4275
23/11/2020,41.9653,59.2040,46.0469,42.9890,42.2791
20/11/2020,42.5052,59.3078,45.9648,44.2585,42.6647
19/11/2020,42.3918,60.4904,45.6301,44.1233,42.6914
18/11/2020,42.2244,62.9114,45.3807,44.1950,43.1246
17/11/2020,43.4609,64.7328,45.2448,43.7993,44.1024
16/11/2020,46.6845,59.2830,45.5964,43.2258,43.7382
13/11/2020,44.3797,54.8158,42.9056,41.7290,43.2100
12/11/2020,44.3744,57.3123,42.7461,41.7155,43.5496
11/11/2020,42.1905,53.6057,40.5572,40.3504,42.9869
10/11/2020,40.2990,38.9291,36.6950,39.0297,41.7745
09/11/2020,39.5437,42.8279,37.7481,39.3785,41.7902
06/11/2020,38.3781,50.0882,38.9037,39.3486,41.8513
05/11/2020,37.6602,46.7185,38.8149,39.8634,41.6254
04/11/2020,39.1721,40.8694,37.4470,38.9549,40.9763
03/11/2020,40.2345,38.4062,36.1034,37.6522,40.1668
02/11/2020,41.7909,38.2590,36.5646,37.9614,40.1624
30/10/2020,41.9660,37.2870,36.3948,38.3503,40.0980
29/10/2020,41.0013,35.5625,36.0114,38.0414,39.9009
