正股,萬科企業

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,35.8870,55.1336,37.2037,36.7440,33.8223
21/01/2021,37.3110,48.3762,34.9946,35.8505,33.2108
20/01/2021,38.4437,45.3068,35.1976,36.2378,33.0048
19/01/2021,38.6136,41.9332,35.5219,36.1250,32.9023
18/01/2021,42.4124,42.9245,36.4075,36.1149,32.7959
15/01/2021,35.9038,41.2301,32.2705,33.9547,31.1599
14/01/2021,38.0669,36.4579,31.4819,33.4228,30.8102
13/01/2021,37.9328,36.9299,32.8483,33.4376,30.8083
12/01/2021,38.9862,34.1187,30.5353,32.8831,30.1108
11/01/2021,39.7314,34.1364,31.5361,32.9868,30.1382
08/01/2021,32.4217,24.6719,27.2801,31.4515,29.3677
07/01/2021,32.6282,22.7072,26.3482,31.1524,29.1612
06/01/2021,32.1886,22.7072,26.3482,31.1660,29.6170
05/01/2021,31.9829,29.1089,26.2477,31.1305,29.5631
04/01/2021,32.1702,29.4561,26.2010,31.1988,29.5938
31/12/2020,30.9498,26.0867,25.0050,30.4901,29.1654
30/12/2020,29.9873,25.5056,25.3989,30.4000,29.1284
29/12/2020,30.4623,25.5056,28.2000,30.4000,29.3204
28/12/2020,29.6203,23.1821,27.2598,30.0457,29.0221
24/12/2020,29.0576,22.6729,27.4474,30.2559,29.0056
23/12/2020,29.3264,23.4432,28.2063,31.1147,29.0342
22/12/2020,29.7622,23.5889,31.0624,31.7960,29.0496
21/12/2020,30.1454,25.2759,31.7689,32.0104,29.0576
18/12/2020,27.1765,21.3076,30.3007,31.3422,28.7219
17/12/2020,27.9694,24.0110,31.2966,31.2701,28.6941
16/12/2020,27.9458,21.8224,36.8425,31.7087,28.6553
15/12/2020,28.4989,24.4532,36.7748,31.9294,28.8508
14/12/2020,28.8946,26.5767,37.0026,31.9293,28.9153
11/12/2020,28.3468,22.2891,37.1982,32.1015,28.8444
10/12/2020,29.9391,30.2132,37.2121,32.1172,29.0679
09/12/2020,30.2595,31.2286,36.9139,32.2562,28.9412
08/12/2020,31.8477,31.3932,37.2050,32.3701,28.9973
07/12/2020,33.4872,30.4567,37.7597,31.9967,28.7501
04/12/2020,34.8344,29.9215,37.3121,31.7196,28.6370
03/12/2020,32.6694,27.3188,36.3578,31.1505,28.3007
02/12/2020,33.6350,25.3747,35.5233,30.7823,28.2388
01/12/2020,34.4027,26.5630,35.4920,30.7212,28.5466
30/11/2020,34.0480,26.6978,33.8131,29.8977,28.0339
27/11/2020,35.7855,27.5058,34.0148,29.8113,28.1004
26/11/2020,33.1066,27.5987,33.9058,29.4899,27.7793
25/11/2020,32.5415,31.0310,34.3654,30.2848,28.3502
24/11/2020,32.1260,37.4501,34.4092,30.3020,28.5265
23/11/2020,31.8533,38.3762,34.3648,31.0308,29.8742
20/11/2020,31.0984,37.5219,33.7408,30.8120,29.7547
19/11/2020,31.3669,38.8428,33.9462,30.8728,29.9603
18/11/2020,31.4024,48.8468,33.9332,30.9402,29.9564
17/11/2020,33.3052,49.1874,33.7435,30.7739,30.7228
16/11/2020,31.3676,47.0009,32.2309,30.0431,30.1234
13/11/2020,29.7222,45.2420,31.8058,29.9246,30.0569
12/11/2020,30.0356,41.6542,31.7416,29.6954,30.2728
11/11/2020,30.8760,36.6734,31.4671,29.1548,32.5155
10/11/2020,29.2166,37.5990,31.6886,28.0065,32.0175
09/11/2020,29.3196,43.4232,31.9948,27.7326,34.1083
06/11/2020,30.0366,42.3498,32.3303,28.0395,34.0632
05/11/2020,29.7639,41.5766,31.6236,27.5547,33.7678
04/11/2020,30.1413,26.1888,26.1081,23.8667,31.8036
03/11/2020,31.8917,26.1877,26.7777,24.2303,31.8191
02/11/2020,32.5378,25.2790,26.3406,24.1235,31.7169
30/10/2020,32.4237,26.8914,26.4729,23.7738,32.0255
29/10/2020,32.1810,27.1866,26.4016,24.1351,32.0915
