正股,廣州汽車集團股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,68.4451,111.8781,70.6064,63.7574,57.4578
21/01/2021,69.5164,113.0204,71.0837,63.9062,57.4452
20/01/2021,70.7391,112.2647,71.4408,63.6236,57.2782
19/01/2021,69.4227,111.8897,72.0574,63.8919,57.3679
18/01/2021,87.1219,111.3902,70.3159,62.8876,56.6017
15/01/2021,109.6308,100.9179,65.3184,60.4784,54.6923
14/01/2021,49.8992,41.0747,39.3117,48.4335,45.9635
13/01/2021,51.8896,46.3146,39.3379,48.4043,45.9890
12/01/2021,55.5138,45.2620,41.5500,48.2105,46.0762
11/01/2021,58.1284,45.2607,41.5474,48.2164,46.5886
08/01/2021,57.2962,42.5626,41.0046,49.4129,48.7829
07/01/2021,53.1787,39.9113,41.7256,49.1223,48.5717
06/01/2021,53.4337,43.3442,41.6712,48.9789,48.7265
05/01/2021,54.0318,44.0758,41.7100,48.9549,48.9500
04/01/2021,55.5417,37.2584,44.0283,48.0238,48.3425
31/12/2020,53.0421,37.5357,52.0860,48.0280,48.3827
30/12/2020,51.3842,34.9763,51.0196,47.8910,48.0383
29/12/2020,49.5064,27.8274,49.8384,47.8373,47.7880
28/12/2020,51.4901,39.4174,51.3767,47.8408,47.7907
24/12/2020,48.2460,41.2361,51.7282,47.8634,47.8022
23/12/2020,48.7774,40.9700,52.3360,47.8549,47.8681
22/12/2020,49.4268,43.7405,55.9168,49.1668,47.9913
21/12/2020,49.2685,43.0119,55.2387,49.1897,47.7541
18/12/2020,45.4493,46.5081,55.6648,48.9689,47.7231
17/12/2020,45.8561,45.8307,55.5578,50.1922,47.7364
16/12/2020,47.8002,45.4873,55.9683,50.2343,47.7425
15/12/2020,49.5518,44.7099,56.2088,49.9628,47.6104
14/12/2020,49.9005,44.9563,56.8886,51.3472,47.6434
11/12/2020,45.5299,42.2182,57.0016,50.4591,47.0354
10/12/2020,45.9943,38.1291,56.7978,50.2858,46.9023
09/12/2020,46.4914,38.0552,57.3140,50.2680,47.1657
08/12/2020,48.4810,41.0334,57.0468,49.8620,47.0033
07/12/2020,48.9651,27.9375,55.8887,49.3999,47.0045
04/12/2020,48.5578,28.6943,55.7569,49.0433,48.0394
03/12/2020,49.9388,49.5674,55.6911,48.9958,48.0735
02/12/2020,51.0894,72.3005,56.3335,49.1268,48.2346
01/12/2020,52.3387,71.7866,56.2625,49.0266,48.1204
30/11/2020,52.8094,71.5896,56.1271,49.0488,48.0832
27/11/2020,53.9182,70.1984,53.5730,48.1105,47.2775
26/11/2020,54.5122,71.4314,53.5630,48.7434,47.4779
25/11/2020,54.5476,71.6151,55.5307,52.2743,47.3437
24/11/2020,55.8375,77.1987,53.0288,51.2502,46.5667
23/11/2020,56.2590,76.8013,52.6616,51.3978,46.9467
20/11/2020,54.8362,77.5671,52.9077,51.8533,47.5213
19/11/2020,53.7320,71.5470,50.8900,50.5356,46.6003
18/11/2020,49.7362,52.5405,44.1133,46.8794,44.9483
17/11/2020,54.7177,54.9868,44.4994,46.9033,45.4306
16/11/2020,55.2643,56.9367,45.6053,47.1076,45.6760
13/11/2020,53.6203,57.9462,42.9188,46.1595,45.1391
12/11/2020,51.4523,55.5852,41.7610,45.8745,45.5193
11/11/2020,51.9098,55.7160,41.5721,45.8069,50.0852
10/11/2020,53.3423,38.5335,38.5853,43.5352,48.8819
09/11/2020,53.3622,39.4295,40.9693,43.8087,49.0083
06/11/2020,51.5983,40.3855,40.7079,43.6283,49.1890
05/11/2020,52.7348,41.1666,44.3622,43.7517,50.2222
04/11/2020,53.6691,41.8583,44.2712,43.5326,50.2532
03/11/2020,53.3475,41.3922,43.6645,43.2005,50.0855
02/11/2020,54.5019,34.8079,45.4276,42.8104,49.7992
30/10/2020,52.4275,29.3209,43.4605,41.7146,49.4175
29/10/2020,52.1452,29.9311,43.4056,41.6243,49.5496
