正股,美高梅中國控股有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,42.0746,29.3950,53.0528,48.8090,43.6617
21/01/2021,43.0386,32.4262,53.2629,48.6983,44.0016
20/01/2021,43.7490,50.6456,52.7008,48.3284,43.7299
19/01/2021,42.4852,52.1029,52.7525,48.3899,43.7469
18/01/2021,44.0171,51.6064,52.8238,48.4723,43.7482
15/01/2021,43.0554,69.5015,52.5235,48.4325,43.6391
14/01/2021,43.0444,76.6643,53.1702,48.6839,43.8809
13/01/2021,44.4624,87.9249,53.0969,48.4166,43.7376
12/01/2021,44.7762,87.8917,53.4135,48.4063,43.7523
11/01/2021,46.1447,83.9482,51.8510,47.5998,43.6012
08/01/2021,46.3048,79.1433,49.8156,46.5951,43.7428
07/01/2021,40.7739,80.1048,49.7917,46.5994,43.9420
06/01/2021,40.5137,76.6793,46.8535,44.8676,43.1588
05/01/2021,39.2892,76.3682,50.8904,44.8740,43.0523
04/01/2021,37.5189,76.6918,51.2566,44.8729,43.1456
31/12/2020,41.6778,52.2105,42.1482,39.6549,39.8144
30/12/2020,36.2930,47.6996,39.7066,38.4361,39.1575
29/12/2020,30.5157,26.0885,31.8989,35.1880,36.7282
28/12/2020,31.6222,26.0449,33.1896,35.2300,36.7365
24/12/2020,30.2269,26.0053,33.4058,35.2459,36.7348
23/12/2020,28.4116,16.0010,31.6919,34.4608,36.1895
22/12/2020,29.8426,20.0394,31.6191,34.4203,36.1728
21/12/2020,29.1479,17.5115,35.3209,34.6288,36.0395
18/12/2020,26.3877,17.7773,36.6923,35.1939,36.0810
17/12/2020,26.3011,18.2631,36.4322,35.1591,36.8644
16/12/2020,26.6476,19.6078,37.6465,37.8720,37.1031
15/12/2020,27.7546,24.6281,37.8373,38.1140,37.0940
14/12/2020,28.6730,25.4552,37.8702,38.0128,37.0461
11/12/2020,27.6796,27.3720,41.8684,38.1136,37.0737
10/12/2020,29.7121,28.0055,43.9681,38.3951,37.1555
09/12/2020,29.5414,27.6139,44.5968,38.5803,37.1676
08/12/2020,29.3341,25.5600,44.3731,39.0512,37.1660
07/12/2020,28.8184,28.6257,44.1991,38.9746,37.2466
04/12/2020,28.0876,45.7699,44.2547,38.9641,37.4718
03/12/2020,27.9416,46.8023,44.3509,38.9272,37.4223
02/12/2020,29.3032,47.6683,44.4820,38.9448,37.4212
01/12/2020,29.0734,45.0526,44.4286,38.8839,37.6757
30/11/2020,32.3561,44.0794,43.8265,38.6970,37.5464
27/11/2020,30.1407,45.4496,43.2019,38.5304,37.7722
26/11/2020,30.2294,45.9095,43.6783,39.1790,37.7200
25/11/2020,31.2009,46.5191,43.9608,40.6509,37.8796
24/11/2020,32.1227,46.4516,44.0023,41.0261,37.9197
23/11/2020,30.1770,53.5291,43.5568,41.4785,37.7313
20/11/2020,30.5361,37.4460,38.1422,39.0209,35.9444
19/11/2020,28.4252,37.5772,37.9698,38.9444,36.5936
18/11/2020,27.8610,39.4146,37.7196,38.7295,36.4729
17/11/2020,28.7631,39.0802,37.7470,39.1425,36.5774
16/11/2020,27.9494,41.0110,38.4677,39.1752,36.7634
13/11/2020,26.0268,52.7577,37.6300,38.6354,36.6564
12/11/2020,25.9689,56.2434,37.3509,38.5574,36.9629
11/11/2020,27.0563,57.3523,36.9613,38.4749,37.0574
10/11/2020,26.0545,57.4783,37.0174,38.4890,37.1204
09/11/2020,23.6214,50.9379,34.5265,36.5963,35.8003
06/11/2020,22.9678,48.4724,34.0463,35.8578,36.7658
05/11/2020,21.7468,49.1631,34.1240,37.1903,37.0435
04/11/2020,25.6242,47.3980,37.3706,36.7924,36.6385
03/11/2020,27.3262,48.6548,37.0937,36.5923,36.5206
02/11/2020,27.9540,47.5650,36.9699,36.5183,36.5117
30/10/2020,31.6032,33.2358,33.7184,34.6601,35.8735
29/10/2020,30.0467,27.1801,30.6532,33.2065,34.7978
