正股,申洲國際

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,39.4779,37.5019,29.7407,35.0259,31.6953
21/01/2021,38.7923,39.3096,30.6602,35.0069,32.0921
20/01/2021,39.7112,42.8528,30.6842,34.9591,32.0939
19/01/2021,38.8483,42.2516,31.8265,34.8775,32.0117
18/01/2021,39.3289,24.5346,26.3738,32.6209,30.2572
15/01/2021,37.3903,24.7284,26.2167,33.7837,30.3445
14/01/2021,37.1440,27.4737,26.1508,33.9897,30.5113
13/01/2021,37.9888,27.5117,25.9549,33.9596,30.6548
12/01/2021,38.0856,25.2713,27.0698,33.9339,30.6229
11/01/2021,39.3581,26.1806,26.8313,33.8668,30.7764
08/01/2021,37.9171,34.6057,26.8463,33.9025,30.9241
07/01/2021,39.0500,32.3906,26.6463,33.4716,30.6557
06/01/2021,37.8278,26.5637,24.8799,32.8439,30.1904
05/01/2021,37.9015,26.9343,26.4496,32.8547,31.1796
04/01/2021,37.9690,27.0253,26.5143,32.8561,33.5324
31/12/2020,37.4154,25.5826,26.2831,32.7526,33.4701
30/12/2020,37.0627,26.4256,26.6607,32.5954,33.3948
29/12/2020,36.1765,27.5535,27.1249,33.0578,33.4519
28/12/2020,36.3490,27.9856,29.1623,33.0939,33.5388
24/12/2020,35.4932,25.8869,28.6649,32.9461,33.4458
23/12/2020,35.1661,15.2834,25.8795,31.6746,32.8766
22/12/2020,34.8808,20.5024,34.7895,31.6758,32.9423
21/12/2020,33.9466,21.4431,35.3054,31.7252,33.3913
18/12/2020,31.2899,26.8279,35.5672,31.7906,33.3754
17/12/2020,32.3199,26.6332,35.3752,31.7406,34.6576
16/12/2020,31.5159,26.5087,37.7494,32.1331,34.7680
15/12/2020,31.8720,25.0342,37.6719,32.0609,34.6779
14/12/2020,31.9497,23.7957,38.0660,32.1331,34.5674
11/12/2020,31.2859,30.1659,38.0474,32.1339,34.7305
10/12/2020,32.6054,30.0941,39.9280,32.8493,35.0629
09/12/2020,33.2649,29.4558,39.7541,32.7656,35.2362
08/12/2020,32.8135,25.8065,38.5851,32.8284,34.9897
07/12/2020,32.8415,23.2713,38.0837,32.6593,35.0146
04/12/2020,32.0980,23.8820,37.4998,32.2074,34.6845
03/12/2020,32.8859,23.6056,37.8732,32.2075,34.8999
02/12/2020,33.9106,23.2578,40.1587,32.3670,34.9039
01/12/2020,35.2857,27.5767,40.5627,32.5788,35.1208
30/11/2020,34.7079,27.0475,40.5593,32.7708,35.2057
27/11/2020,33.6454,31.6007,39.8885,32.3860,35.3148
26/11/2020,35.3630,31.6256,39.8862,32.7030,35.3154
25/11/2020,35.6431,32.3072,39.9901,32.8949,35.4635
24/11/2020,36.0702,51.0725,39.5746,32.6847,35.2660
23/11/2020,35.4946,52.4878,39.5471,32.6764,35.4812
20/11/2020,34.9460,51.1703,38.6714,33.5034,35.7711
19/11/2020,35.0688,51.1520,38.6412,36.7026,35.9631
18/11/2020,35.0613,56.0530,38.6199,36.6999,35.9592
17/11/2020,35.4307,54.9007,38.0456,36.4792,36.1287
16/11/2020,36.0586,55.7855,38.5630,36.3510,35.9811
13/11/2020,34.8611,52.4263,37.0783,35.7579,35.5508
12/11/2020,36.0131,56.3374,37.1789,35.8253,35.6027
11/11/2020,38.4343,55.5312,37.0095,36.0619,35.5708
10/11/2020,39.4785,38.0620,28.3475,31.9535,32.7536
09/11/2020,37.5567,36.5771,28.0811,32.4083,32.6417
06/11/2020,37.8142,35.8668,27.6657,32.1484,32.6002
05/11/2020,37.8407,37.4779,27.6934,33.9928,32.8604
04/11/2020,38.6504,37.1354,25.9610,33.1855,32.3473
03/11/2020,40.8920,38.2845,25.8653,33.0728,32.3849
02/11/2020,42.7772,35.6851,25.5244,32.7612,32.3548
30/10/2020,42.9061,36.9727,25.5482,32.9965,32.4303
29/10/2020,40.9060,30.0829,24.2439,32.0241,31.7461
