正股,中國平安保險(集團)股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,27.2327,42.5670,27.6132,25.7649,23.6121
21/01/2021,29.5011,38.5445,26.1213,25.8851,22.9600
20/01/2021,30.5422,37.9443,28.1925,26.2115,22.9133
19/01/2021,30.1855,37.7559,28.4883,26.5017,22.9163
18/01/2021,35.0196,38.2740,29.3819,26.5223,22.9754
15/01/2021,33.5611,37.0733,28.8899,26.2344,22.7775
14/01/2021,31.1717,34.0704,27.3042,25.4019,22.1520
13/01/2021,34.6082,32.2256,28.5857,25.1859,22.0132
12/01/2021,32.0519,32.1169,28.6005,25.1241,22.0091
11/01/2021,24.0593,15.6697,23.3751,22.3439,19.9122
08/01/2021,24.6128,11.6398,23.1826,22.0124,19.7620
07/01/2021,24.4374,11.8218,23.6700,21.9766,19.7267
06/01/2021,23.1410,15.2867,23.8822,22.1148,19.7165
05/01/2021,24.4612,15.2482,23.9032,22.1116,19.7475
04/01/2021,24.4510,18.3884,23.9918,22.0415,19.7118
31/12/2020,24.1699,19.4208,23.8936,21.9669,19.6724
30/12/2020,23.7577,19.2469,24.0937,21.9164,19.6227
29/12/2020,22.9060,19.3603,24.2688,21.9216,19.7128
28/12/2020,23.6949,19.8540,24.3346,21.9245,19.7700
24/12/2020,21.7795,20.8291,24.2644,21.9263,19.6684
23/12/2020,21.6048,20.3730,24.2399,21.9400,20.1746
22/12/2020,22.0298,21.9709,24.6023,21.9328,20.1683
21/12/2020,22.2788,26.4660,23.9586,21.7171,19.8940
18/12/2020,21.0305,26.7672,24.8691,21.7846,19.9442
17/12/2020,21.3239,29.3204,23.7357,21.3479,19.6102
16/12/2020,20.5786,28.2625,23.6945,21.4754,19.4915
15/12/2020,20.4717,28.1986,23.6781,21.8976,19.5093
14/12/2020,21.7555,33.5694,23.3954,21.8825,19.4688
11/12/2020,21.7740,33.7385,23.5024,21.8971,19.4336
10/12/2020,23.3354,31.7541,22.8702,21.5424,19.3574
09/12/2020,24.1010,32.3257,23.8830,21.5497,19.4536
08/12/2020,24.8766,32.9606,26.0805,21.4433,19.4073
07/12/2020,24.4985,26.3417,24.4298,19.9925,18.4746
04/12/2020,23.2609,23.4080,24.4832,19.7581,18.2988
03/12/2020,23.7488,23.4152,23.7281,19.2726,17.8421
02/12/2020,25.3472,24.0131,23.7412,19.2971,17.8561
01/12/2020,24.7726,24.4359,23.7105,19.3212,18.0630
30/11/2020,23.7324,18.9985,21.7470,18.0872,17.0933
27/11/2020,21.9774,17.7090,21.5781,18.1091,17.2617
26/11/2020,21.0929,18.7637,21.5392,18.1478,17.2133
25/11/2020,20.6317,17.6598,21.1655,17.9995,17.2229
24/11/2020,20.3596,16.9398,20.5433,17.5759,16.9570
23/11/2020,20.4505,15.3311,20.5477,17.4751,17.0362
20/11/2020,19.8603,18.6651,20.5393,17.4861,17.0570
19/11/2020,20.0012,16.4890,20.2390,17.3813,17.0856
18/11/2020,20.6695,14.8777,20.1968,17.3832,17.0779
17/11/2020,22.1241,14.7415,19.8940,17.1386,17.2076
16/11/2020,22.0869,14.7862,19.7091,17.1191,17.0749
13/11/2020,20.5178,16.0143,19.6411,17.1215,17.4456
12/11/2020,20.8013,17.5642,19.7196,17.0717,17.5463
11/11/2020,21.6346,21.7225,19.7765,18.0030,20.2851
10/11/2020,21.0241,27.7764,19.3136,17.6826,20.2299
09/11/2020,21.8090,28.2330,19.4131,17.4624,20.7496
06/11/2020,21.4484,27.1693,17.8964,16.6838,20.2956
05/11/2020,22.8523,26.7946,17.9116,16.6833,20.3218
04/11/2020,23.1335,25.2896,17.8812,16.4545,20.2844
03/11/2020,24.8136,24.8928,19.1815,16.4449,20.2530
02/11/2020,24.8536,25.4366,19.1560,16.4064,20.2398
30/10/2020,24.6783,26.4291,19.2007,16.4024,20.2431
29/10/2020,22.5581,26.0889,19.3912,16.7820,20.1458
