正股,中國蒙牛乳業有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,42.2717,31.3725,35.9399,38.3405,35.3086
21/01/2021,42.4172,27.2250,33.9541,37.3521,34.7127
20/01/2021,43.1860,25.4334,32.9000,37.0973,34.4232
19/01/2021,42.5771,21.2390,33.1796,36.9890,34.9896
18/01/2021,43.5377,44.1975,36.5092,37.0858,34.9090
15/01/2021,41.1014,44.7862,37.2314,37.4217,34.9309
14/01/2021,42.2278,44.1520,37.2278,38.1753,34.8844
13/01/2021,42.6511,45.8305,36.2057,37.7395,34.6105
12/01/2021,42.4704,43.4205,36.1359,37.8614,34.4186
11/01/2021,43.7871,43.4117,36.4081,38.0077,34.4217
08/01/2021,42.5728,40.4924,35.7015,37.7523,34.6726
07/01/2021,43.6380,39.3083,37.9593,37.7219,38.2542
06/01/2021,42.1403,37.8761,37.6081,37.8221,38.5312
05/01/2021,40.3441,38.2370,37.7876,37.7840,38.7338
04/01/2021,38.3756,28.9281,32.9628,35.2051,37.0755
31/12/2020,36.9439,28.0251,32.5794,35.0288,37.3944
30/12/2020,37.2151,27.8372,33.2396,35.5310,37.3924
29/12/2020,34.7909,20.3587,32.1056,34.6357,37.3423
28/12/2020,35.5385,21.0375,32.0723,34.9289,37.4921
24/12/2020,34.4775,22.1466,32.0686,35.3037,37.6422
23/12/2020,34.8348,25.9199,32.6678,35.2950,37.6341
22/12/2020,35.1124,24.7960,32.3116,35.0901,37.4800
21/12/2020,34.6360,24.9480,32.3026,35.1128,37.4807
18/12/2020,32.8348,27.8549,32.2773,35.1210,37.5424
17/12/2020,34.3561,37.7486,31.9410,34.7596,37.4560
16/12/2020,34.5278,39.7237,36.4712,34.7734,37.5585
15/12/2020,33.4419,41.2294,36.5215,35.5367,37.7036
14/12/2020,33.3824,40.8990,36.1794,35.4059,37.6915
11/12/2020,32.2904,42.3366,37.2229,35.5503,37.6286
10/12/2020,32.7306,42.4595,41.7723,35.5626,37.6117
09/12/2020,32.8662,40.4269,41.2091,35.2936,37.4335
08/12/2020,33.7548,45.6855,41.0197,35.3142,37.4727
07/12/2020,34.6329,45.6452,41.3343,35.3521,37.4810
04/12/2020,33.8482,43.7943,41.0116,36.1157,37.2681
03/12/2020,34.5786,32.1167,37.7416,34.1462,37.0890
02/12/2020,33.9873,25.9208,37.5791,33.6237,36.7449
01/12/2020,35.3040,30.2311,39.4173,33.5640,37.2476
30/11/2020,34.9933,30.6215,39.2436,33.4083,37.4390
27/11/2020,35.9181,30.1529,39.5047,33.1820,37.4104
26/11/2020,36.5667,30.0999,39.5855,33.1440,37.5685
25/11/2020,37.3036,32.1557,39.4142,33.5801,37.6246
24/11/2020,36.6600,25.6597,37.6934,38.4504,37.6674
23/11/2020,36.8721,25.5446,38.2502,38.8958,38.0259
20/11/2020,36.1857,25.1840,38.1567,39.2619,38.0327
19/11/2020,34.4201,25.8969,37.8727,39.1945,37.9593
18/11/2020,33.3237,40.4028,37.8797,39.8385,37.9637
17/11/2020,37.0119,39.0919,38.2442,39.5273,37.7272
16/11/2020,37.6197,34.9005,37.4786,39.9603,37.4851
13/11/2020,36.6811,37.6494,38.0281,40.1805,38.6668
12/11/2020,38.3422,53.0414,38.7838,40.3960,38.6955
11/11/2020,38.7332,52.0051,38.3026,40.1309,39.0979
10/11/2020,35.8141,51.5298,38.1542,40.0731,39.0852
09/11/2020,36.2623,52.5838,38.2351,40.0767,39.6156
06/11/2020,35.3228,53.4095,38.2464,40.1735,39.6306
05/11/2020,34.8025,53.4320,37.7973,40.1851,39.5593
04/11/2020,37.8241,44.5003,33.5779,38.2939,38.2326
03/11/2020,39.9636,49.7373,34.9842,38.4387,38.2336
02/11/2020,40.8967,49.9050,35.0964,38.6023,38.2646
30/10/2020,40.5906,47.0312,33.8969,37.9346,37.7944
29/10/2020,37.7846,35.1280,28.7526,35.6971,36.2258
