正股,中國人民財產保險股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,31.6100,44.0237,31.0825,31.7158,30.8755
21/01/2021,32.7551,37.0299,28.9213,31.1787,29.8820
20/01/2021,33.4943,36.0238,28.7706,31.8346,30.0248
19/01/2021,33.2462,36.9693,28.9416,32.5054,30.0494
18/01/2021,35.8641,36.0026,28.6820,32.1339,30.0406
15/01/2021,33.4344,35.8605,29.7978,32.2036,30.0385
14/01/2021,34.0297,36.5848,29.5642,32.1525,29.9892
13/01/2021,35.4501,34.9137,29.5865,32.1060,29.9565
12/01/2021,34.6529,37.3343,30.6019,32.5216,29.9868
11/01/2021,32.1863,28.1734,26.1480,31.1170,28.7426
08/01/2021,32.0614,20.1743,26.2513,30.3351,28.1981
07/01/2021,32.3428,21.2840,25.8652,30.2219,28.1106
06/01/2021,33.2985,22.9926,25.9232,30.3646,28.1529
05/01/2021,31.7065,21.6679,24.8617,30.0295,27.8577
04/01/2021,33.0374,21.8615,24.9241,30.2127,27.9137
31/12/2020,32.2240,21.8220,25.2175,30.2961,27.9868
30/12/2020,30.4103,20.0453,28.8501,30.2912,27.7482
29/12/2020,30.4390,18.8454,29.5737,30.4926,27.7476
28/12/2020,29.9612,20.5242,29.3502,30.2137,27.7999
24/12/2020,29.5178,19.9797,30.0179,30.2356,27.7790
23/12/2020,28.6105,19.7574,30.1932,30.0956,27.7752
22/12/2020,29.5557,21.2314,31.1377,30.0744,27.8676
21/12/2020,29.3660,21.3616,31.6639,30.1343,27.8038
18/12/2020,27.6834,21.1215,31.3341,30.4521,27.8380
17/12/2020,28.5051,26.3246,31.5523,30.5082,27.8205
16/12/2020,28.1456,28.2692,32.9502,31.7764,27.8209
15/12/2020,28.9306,26.1244,32.9834,31.8531,27.7254
14/12/2020,30.1202,27.9810,33.5562,31.9052,27.7333
11/12/2020,28.5803,28.4172,32.4513,31.4753,27.4311
10/12/2020,29.6127,28.5524,33.5075,31.5519,27.8337
09/12/2020,30.2086,32.1735,32.2583,30.9887,27.4524
08/12/2020,30.3485,30.1138,33.4106,30.5621,27.1688
07/12/2020,31.0379,30.6893,34.9312,30.8577,27.3571
04/12/2020,29.7209,30.3512,35.7366,30.7985,27.3111
03/12/2020,31.4483,27.9848,35.3605,30.8974,27.0725
02/12/2020,31.3452,24.0096,34.0638,30.2815,26.7210
01/12/2020,31.5948,33.9993,34.0438,30.2987,27.2314
30/11/2020,32.3782,34.9516,34.1151,30.3260,27.1727
27/11/2020,32.0112,28.2766,33.1796,29.7845,26.8664
26/11/2020,32.3120,33.0187,33.7713,29.8021,26.8673
25/11/2020,31.6695,34.9066,33.4055,29.2541,26.4557
24/11/2020,30.9698,36.2583,33.4465,29.2854,26.6024
23/11/2020,31.6974,35.0050,33.1442,29.2661,26.6449
20/11/2020,31.7613,35.7297,33.1540,29.2444,26.7173
19/11/2020,31.6834,35.5888,33.7370,29.3455,26.9982
18/11/2020,31.9573,37.3600,33.9844,29.3868,27.1236
17/11/2020,34.1742,31.2713,31.7762,27.4223,28.5764
16/11/2020,33.5658,31.3547,31.5952,27.0445,28.3323
13/11/2020,32.2393,31.2929,31.4348,27.1783,28.5192
12/11/2020,31.8214,31.9663,30.6433,26.8442,28.6421
11/11/2020,32.7855,28.2900,29.7146,26.7324,31.9098
10/11/2020,32.7611,35.7906,29.0730,26.3605,31.7972
09/11/2020,33.7762,38.6801,28.9768,25.8956,34.4125
06/11/2020,34.0783,42.1791,30.0642,26.1425,34.4496
05/11/2020,33.5326,41.6038,29.9537,25.9079,40.3987
04/11/2020,33.8863,38.1951,30.6975,24.8167,39.9370
03/11/2020,36.5836,37.4556,30.8334,24.5728,39.8793
02/11/2020,36.7367,35.8913,29.8554,23.9299,39.6082
30/10/2020,37.8555,38.7326,29.6220,23.8440,39.5450
29/10/2020,36.2122,37.3223,29.0141,24.2238,39.4161
