正股,長城汽車股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,76.1134,74.9613,82.5235,78.3748,72.6967
21/01/2021,76.9625,80.8718,82.7745,78.1750,72.6277
20/01/2021,76.6759,88.9221,84.0816,77.6469,71.8403
19/01/2021,75.3355,88.2662,85.0122,77.6449,71.8915
18/01/2021,83.9253,95.1829,84.2180,77.5174,71.7220
15/01/2021,82.4478,86.2582,85.4238,76.7559,71.2239
14/01/2021,82.5009,85.6895,85.5474,76.7339,70.7263
13/01/2021,87.0033,85.8571,81.9613,75.0071,70.1103
12/01/2021,89.9302,78.6883,79.5479,73.5181,69.0437
11/01/2021,94.5521,82.1279,79.1675,73.8761,70.0036
08/01/2021,88.9072,85.5460,80.0273,75.7097,70.4423
07/01/2021,89.9363,96.8477,79.5879,75.4573,70.2717
06/01/2021,86.7184,91.9886,76.7335,74.1515,69.0713
05/01/2021,90.9598,95.5558,77.9435,74.3976,69.1230
04/01/2021,89.3426,79.0008,76.5647,72.8694,67.7643
31/12/2020,74.7386,80.3575,76.5015,72.9957,67.7631
30/12/2020,74.6973,80.2425,76.4635,74.3138,67.6909
29/12/2020,68.3197,76.8471,73.7778,72.8014,67.4986
28/12/2020,67.8973,70.0617,73.4568,72.4738,67.1803
24/12/2020,65.6839,70.5860,70.9270,71.3444,66.0548
23/12/2020,69.2411,70.3342,72.2035,71.5807,65.9539
22/12/2020,66.8789,60.9569,77.0046,68.3877,63.6153
21/12/2020,66.3992,73.5702,77.3292,69.2775,63.6535
18/12/2020,64.4105,74.3986,74.8835,67.9392,62.9044
17/12/2020,61.7480,71.4257,73.5877,68.8437,62.1806
16/12/2020,63.2771,80.2064,73.5691,69.1488,62.5377
15/12/2020,62.6580,82.8157,73.2422,68.8485,62.3571
14/12/2020,62.2673,82.5358,75.4973,68.8519,62.5372
11/12/2020,55.0845,71.8625,73.7514,67.3827,61.7546
10/12/2020,56.4386,72.1826,74.2914,67.5373,61.7602
09/12/2020,56.6110,72.4882,74.0979,67.3779,61.6666
08/12/2020,58.2877,72.2907,73.7442,67.2521,61.7300
07/12/2020,54.8602,34.4773,67.9494,63.8773,59.7400
04/12/2020,54.0707,51.5214,67.6513,63.7565,59.5591
03/12/2020,55.2796,71.2206,67.8765,63.8138,59.5691
02/12/2020,57.3624,63.6210,66.3593,63.1976,58.7331
01/12/2020,58.4620,57.3862,67.0253,62.3913,59.1272
30/11/2020,57.1406,57.0818,67.0558,63.2956,59.5125
27/11/2020,59.2955,56.5211,66.7777,62.9278,59.6661
26/11/2020,58.5162,56.4366,67.5843,64.8558,60.7055
25/11/2020,59.6035,57.5216,71.8541,65.4647,60.6047
24/11/2020,59.9216,94.8302,71.9313,65.5471,60.8545
23/11/2020,61.6445,95.4352,72.7308,65.5132,61.3529
20/11/2020,59.5011,92.1314,71.6166,64.7325,60.6921
19/11/2020,56.1686,81.7047,68.6635,62.5343,59.1322
18/11/2020,56.8410,81.1489,68.7249,62.5077,59.6035
17/11/2020,63.4667,79.1360,72.0432,62.3484,59.5933
16/11/2020,64.5803,87.8513,72.1599,63.8747,59.9078
13/11/2020,63.7207,90.9536,72.1303,63.5858,59.8207
12/11/2020,63.5450,91.1194,72.3981,63.4469,59.7274
11/11/2020,63.1959,80.4591,70.9128,61.8267,59.7182
10/11/2020,60.3331,51.9469,59.8773,56.3052,55.8311
09/11/2020,61.1988,56.3499,61.5150,56.2288,56.0512
06/11/2020,59.8697,56.6412,61.4543,56.6652,56.1171
05/11/2020,59.9126,55.2009,64.8535,56.2772,55.9555
04/11/2020,60.6747,57.4791,65.6201,56.8685,56.1743
03/11/2020,64.0509,63.4783,65.1214,56.6643,56.0619
02/11/2020,61.7936,54.0706,62.7669,55.6448,55.2141
30/10/2020,60.3929,49.4010,61.5899,55.4573,55.7911
29/10/2020,59.8941,49.6811,61.0976,55.0624,55.5382
