正股,舜宇光學科技(集團)有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,51.3952,61.1668,46.0941,48.0242,43.4390
21/01/2021,52.1035,60.8101,45.9638,47.9385,43.3523
20/01/2021,53.6359,60.5492,46.7480,48.0521,43.3898
19/01/2021,55.2343,59.3274,46.4099,47.9706,43.3044
18/01/2021,56.5663,50.4255,42.4454,46.0458,41.6779
15/01/2021,53.4409,42.4294,38.4892,44.1290,40.4642
14/01/2021,55.5362,41.1124,39.2993,44.1328,40.3970
13/01/2021,53.2422,42.7535,39.4109,44.1996,40.6842
12/01/2021,56.3703,36.7945,38.5931,43.7249,41.0480
11/01/2021,57.6104,40.3242,37.8847,43.8686,40.8364
08/01/2021,54.0692,36.9837,35.6257,42.9591,40.4970
07/01/2021,54.3376,34.9217,35.2646,42.4071,40.1174
06/01/2021,50.3565,34.0352,35.3138,42.3945,40.2532
05/01/2021,46.9328,36.3556,35.3125,42.9260,40.5603
04/01/2021,46.6842,39.3746,35.0046,43.0338,41.4408
31/12/2020,44.5151,35.3768,34.0894,43.3432,40.9291
30/12/2020,46.1595,35.5426,34.5521,43.7329,41.0580
29/12/2020,47.4518,33.4346,34.2557,43.6949,40.6685
28/12/2020,47.7920,34.6305,33.0521,43.3749,42.2338
24/12/2020,46.3605,32.7674,32.4766,42.9597,45.2267
23/12/2020,45.8215,37.1107,32.1164,42.6676,45.0741
22/12/2020,45.3891,36.9093,32.2163,42.8745,45.0312
21/12/2020,45.5897,42.8310,39.6707,43.1364,45.0944
18/12/2020,41.3496,42.0074,45.7273,43.0163,45.1181
17/12/2020,41.6625,40.3139,45.6278,42.7995,45.0172
16/12/2020,42.9209,40.8023,47.7320,42.8462,45.2807
15/12/2020,43.3582,42.7282,48.5305,42.9623,45.3280
14/12/2020,45.6858,40.5142,52.5526,42.7509,45.1840
11/12/2020,44.7640,34.2517,51.8447,42.2098,44.9193
10/12/2020,42.3288,32.6537,51.3947,41.8258,44.7595
09/12/2020,40.6379,28.0917,50.1877,41.9409,44.4059
08/12/2020,41.1295,30.3879,50.1363,41.9134,44.4088
07/12/2020,39.2292,16.0758,49.2313,41.1445,43.7962
04/12/2020,38.6469,17.0773,49.2767,41.1523,43.7992
03/12/2020,39.8749,16.4929,49.5253,41.1657,43.9470
02/12/2020,41.7770,19.2206,49.5731,41.5230,44.1381
01/12/2020,41.6568,22.5167,49.1109,41.1309,44.0035
30/11/2020,42.1002,29.5181,49.1928,41.5089,44.3548
27/11/2020,44.2578,29.1231,48.9746,42.4498,44.7535
26/11/2020,45.4286,31.6923,49.7312,42.4268,46.3322
25/11/2020,46.1978,33.2530,49.8523,42.9517,46.3275
24/11/2020,47.1939,30.6508,49.0558,42.6202,46.1302
23/11/2020,49.0123,53.2088,48.9671,42.7905,46.8004
20/11/2020,48.9643,66.4903,49.9806,43.2285,47.1239
19/11/2020,50.5753,66.3530,50.2337,44.5902,47.5295
18/11/2020,52.1718,66.2341,50.6177,44.1420,47.4020
17/11/2020,59.4430,69.8672,51.0028,44.1975,47.8318
16/11/2020,59.3105,76.4211,51.4888,43.7750,47.6657
13/11/2020,58.5220,76.1350,51.4879,46.3955,47.9117
12/11/2020,52.4997,77.4098,51.6909,50.5952,47.8458
11/11/2020,53.0297,77.8560,51.4874,50.5080,48.6796
10/11/2020,53.2917,77.4130,51.7032,50.4568,49.6565
09/11/2020,55.3570,58.9214,45.7039,47.8207,47.8541
06/11/2020,47.1034,50.6011,40.6201,45.1863,46.1114
05/11/2020,47.6642,52.1260,40.4511,45.0313,46.2170
04/11/2020,49.1071,47.3810,38.1540,44.1389,46.2690
03/11/2020,46.6920,44.2412,37.3952,43.9273,46.2179
02/11/2020,41.0969,25.8225,30.7755,41.0046,44.5213
30/10/2020,41.0089,24.1514,30.4098,41.0966,44.4522
29/10/2020,42.1905,26.8890,30.1210,41.0668,44.4360
