正股,中銀香港(控股)有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,25.8952,15.2957,24.1613,25.8175,23.9699
21/01/2021,26.4149,20.1885,23.9196,26.2553,23.8839
20/01/2021,27.2332,24.6964,23.7917,26.2166,23.8394
19/01/2021,27.0351,24.9981,23.8679,26.5418,23.7639
18/01/2021,25.4107,25.6379,23.5599,26.4635,23.7258
15/01/2021,24.7161,26.8190,23.4922,26.3793,23.8984
14/01/2021,25.5487,28.0291,23.3068,26.2910,23.9555
13/01/2021,26.0296,28.0648,23.8457,26.2930,23.9573
12/01/2021,26.6938,27.5073,23.7555,26.2162,23.9118
11/01/2021,27.3207,27.0167,23.8318,26.4981,23.8665
08/01/2021,26.9157,24.4595,24.2023,26.3183,23.8604
07/01/2021,28.0499,23.7428,25.0051,25.9416,23.5696
06/01/2021,24.8662,20.2809,23.4840,25.5807,23.1935
05/01/2021,24.2252,23.4229,23.3296,25.4042,23.0906
04/01/2021,24.3612,25.4366,22.9862,25.2338,22.9380
31/12/2020,23.6030,22.9608,22.1294,25.0052,22.7471
30/12/2020,24.3613,22.5755,21.6713,24.8182,22.5509
29/12/2020,24.3042,22.6180,22.3107,24.8516,22.6605
28/12/2020,24.0308,27.4008,22.3344,24.8371,22.6646
24/12/2020,23.4283,27.1830,23.1380,24.9569,22.7482
23/12/2020,24.0138,25.8764,22.8630,24.9161,22.7259
22/12/2020,24.5805,26.3446,24.3447,24.8840,22.7122
21/12/2020,24.1978,25.2383,28.9656,25.4306,22.6828
18/12/2020,22.6894,23.6306,28.0588,24.9477,23.1079
17/12/2020,21.9146,21.4569,27.1097,24.5142,22.9868
16/12/2020,23.2594,20.6534,26.7707,24.5034,22.8308
15/12/2020,23.6251,20.0228,26.7331,24.4741,22.8476
14/12/2020,23.7557,21.0554,28.8267,24.3641,22.9772
11/12/2020,22.3669,13.7863,28.0280,23.8734,22.5845
10/12/2020,23.0423,13.2753,27.2816,24.0332,23.2485
09/12/2020,23.6910,16.0707,27.2967,24.0177,23.5424
08/12/2020,24.5007,24.0556,28.6055,24.0361,23.6059
07/12/2020,24.8354,23.8705,28.4818,23.9959,23.5803
04/12/2020,24.3672,23.3791,28.7468,23.8252,23.4700
03/12/2020,25.0275,23.9082,28.7090,23.8680,23.5105
02/12/2020,25.5509,24.0014,28.7076,24.1717,23.5123
01/12/2020,25.5034,24.0220,28.8130,24.3919,23.7953
30/11/2020,25.6549,22.5323,27.9714,24.0325,23.5909
27/11/2020,25.0848,23.0155,27.9517,24.0516,23.6287
26/11/2020,25.5632,27.7149,28.8216,24.0152,23.6000
25/11/2020,25.5162,25.5288,28.0004,23.7998,23.4211
24/11/2020,24.1142,23.8601,26.8583,22.9892,22.8357
23/11/2020,24.3541,35.0778,27.1441,23.1433,22.8743
20/11/2020,23.5985,34.2953,26.9033,23.0686,22.8590
19/11/2020,24.1830,34.3258,26.8628,23.0011,22.8122
18/11/2020,24.8805,34.3554,26.9361,23.0691,22.8516
17/11/2020,26.3487,34.5528,27.0674,23.0638,23.1496
16/11/2020,27.0529,38.7094,26.8115,22.9888,23.5544
13/11/2020,26.5635,38.0345,26.6596,22.9725,23.6669
12/11/2020,25.3482,32.7934,25.5810,22.5711,23.4344
11/11/2020,25.7104,32.5574,25.3219,22.5680,24.5101
10/11/2020,25.4220,36.8997,24.6374,21.9531,24.1030
09/11/2020,23.4809,27.0580,21.6156,19.0716,22.7712
06/11/2020,23.8655,29.0021,21.8017,20.4562,22.8773
05/11/2020,23.8876,28.9971,22.0810,20.8599,22.8791
04/11/2020,26.2927,28.8827,22.4117,20.7562,22.7906
03/11/2020,27.3260,29.2408,22.4117,20.8198,22.7906
02/11/2020,27.5232,20.1662,18.6624,19.2180,21.5829
30/10/2020,28.4912,20.3140,18.7001,19.2108,21.5897
29/10/2020,27.6322,22.7736,19.7686,20.8881,21.7136
