正股,中國鋁業股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,54.2362,67.4446,63.5369,64.7006,56.5793
21/01/2021,56.5665,58.8284,59.8501,62.8938,54.9939
20/01/2021,52.8768,69.1506,57.6611,62.7081,54.6783
19/01/2021,54.0393,67.8142,57.3698,62.6919,54.6705
18/01/2021,61.5078,67.7518,57.4653,62.5154,54.5383
15/01/2021,56.6467,76.8377,60.5945,62.3191,54.4263
14/01/2021,56.4463,77.2489,60.5565,62.3485,54.4268
13/01/2021,60.6896,75.9363,60.3914,62.0222,54.3584
12/01/2021,59.4443,77.5789,64.5513,62.2349,54.4422
11/01/2021,62.1506,78.6779,64.5513,62.3571,54.6313
08/01/2021,64.7762,59.9970,59.3470,59.4158,52.6962
07/01/2021,66.4954,58.6532,59.6040,59.2614,52.6145
06/01/2021,58.6203,58.7588,60.1418,57.1440,50.8901
05/01/2021,59.9840,59.4506,69.3784,57.0414,52.4871
04/01/2021,57.8175,58.7617,69.2792,56.8093,52.3866
31/12/2020,53.5417,65.0073,67.7299,55.6739,51.3813
30/12/2020,54.5716,64.9538,67.8507,56.1117,51.3555
29/12/2020,54.6847,65.3786,67.9051,56.1209,51.3976
28/12/2020,56.7063,64.0136,68.7811,55.6432,51.1912
24/12/2020,54.3023,62.4040,68.9656,55.5420,51.4046
23/12/2020,54.0728,59.8710,68.7571,55.3691,51.2028
22/12/2020,54.4376,59.9571,68.8878,55.7809,51.2177
21/12/2020,54.3780,49.1772,64.9720,54.3981,49.7936
18/12/2020,56.7215,47.5223,67.8075,54.2358,49.9599
17/12/2020,61.5063,48.0713,67.5965,54.7342,49.9467
16/12/2020,51.8506,37.5508,64.5869,52.8148,48.3622
15/12/2020,53.1922,37.7681,64.1910,52.7022,48.8458
14/12/2020,54.3225,38.0154,63.6974,52.5741,48.7765
11/12/2020,55.6282,57.4712,63.2217,52.6100,49.2327
10/12/2020,55.4356,57.4712,63.0229,52.6263,50.2421
09/12/2020,56.4023,60.0475,63.2678,52.6421,50.2789
08/12/2020,58.5348,60.6731,64.0779,52.4719,50.7133
07/12/2020,60.4241,74.3963,65.0353,52.8707,50.5867
04/12/2020,59.6422,93.8133,64.9816,52.9973,50.6178
03/12/2020,59.1769,93.8734,65.2905,52.9647,50.6362
02/12/2020,64.0914,82.3068,60.0793,50.5916,49.0912
01/12/2020,67.2407,80.4447,59.7260,50.5424,49.6437
30/11/2020,67.4545,78.0136,59.0632,50.5698,49.5323
27/11/2020,62.7430,76.2221,56.9070,48.7878,48.0718
26/11/2020,63.7452,78.2411,57.3524,49.0389,48.1657
25/11/2020,61.8838,80.1803,58.7894,49.5276,50.1305
24/11/2020,62.6047,75.5923,57.9145,49.2140,50.6648
23/11/2020,59.1212,68.1827,53.5701,46.1122,49.3071
20/11/2020,52.3821,54.5800,42.4591,41.8889,44.9676
19/11/2020,50.5554,54.3090,42.0237,41.4335,44.8763
18/11/2020,50.2846,49.7885,41.3253,41.2502,46.4715
17/11/2020,60.2930,50.7125,42.2809,41.0460,46.7537
16/11/2020,60.8442,48.3135,42.1089,41.0897,48.0565
13/11/2020,52.6103,45.6864,39.5833,39.2211,48.0465
12/11/2020,54.2451,41.4397,38.9703,39.9196,47.9844
11/11/2020,54.7925,41.6874,38.7466,39.9138,51.9308
10/11/2020,53.2937,49.5175,39.8094,39.6286,52.0460
09/11/2020,54.0642,55.4718,41.9149,39.2604,52.3839
06/11/2020,43.9925,35.2732,34.1152,35.0914,50.3273
05/11/2020,41.6963,34.1059,34.7383,34.7439,50.2902
04/11/2020,44.8607,33.2622,34.7095,34.7069,50.2374
03/11/2020,46.8158,34.2411,34.6526,35.4674,50.2337
02/11/2020,48.4346,30.8525,33.4365,34.8761,50.0159
30/10/2020,47.3907,36.0885,33.6812,36.3778,50.1448
29/10/2020,44.0648,35.6050,33.6039,38.6298,50.1197
