正股,中國太平洋保險(集團)股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,43.7217,70.0918,48.6594,45.6748,41.7173
21/01/2021,44.6301,52.5264,41.2231,42.7951,39.1099
20/01/2021,45.4026,54.2831,41.4715,43.0311,39.0729
19/01/2021,45.7416,42.8414,40.5907,42.2276,38.1497
18/01/2021,49.4530,42.9542,38.2069,41.1124,37.8513
15/01/2021,48.1675,44.4029,38.3977,40.9522,37.7287
14/01/2021,46.2139,42.0982,36.5077,40.1496,37.1739
13/01/2021,47.0842,38.9860,38.0814,40.5879,37.1320
12/01/2021,48.2736,38.4528,38.9332,41.0352,37.1527
11/01/2021,44.9498,34.2972,36.4205,39.9382,36.3135
08/01/2021,42.6688,34.1878,38.5390,39.8658,37.0821
07/01/2021,43.6128,40.7631,40.2617,39.7337,37.0736
06/01/2021,41.2869,40.7760,39.1908,39.6914,36.6422
05/01/2021,40.6170,40.8648,39.1676,39.8345,36.7614
04/01/2021,41.4655,41.5885,38.8099,39.5016,36.8017
31/12/2020,38.2627,31.2946,36.8361,38.2628,35.8254
30/12/2020,36.7772,32.0795,36.7299,38.2913,35.8566
29/12/2020,37.6515,31.6246,36.9530,38.2861,36.0419
28/12/2020,38.3581,34.4961,38.5553,38.1864,36.2570
24/12/2020,36.5351,31.6974,39.1832,38.2587,36.0742
23/12/2020,36.5748,32.0573,40.7993,38.5774,36.3500
22/12/2020,37.4752,28.4676,40.4648,37.9507,36.0083
21/12/2020,37.6306,25.4614,40.0410,37.8042,35.8200
18/12/2020,34.6766,31.3945,40.2796,38.0746,35.9487
17/12/2020,35.5685,29.4851,39.4088,37.7040,36.0660
16/12/2020,35.1553,30.6818,40.4548,37.9289,36.1223
15/12/2020,34.8153,28.5430,40.8793,38.5809,36.0328
14/12/2020,35.9899,37.9296,42.3983,38.8159,36.0329
11/12/2020,34.7382,36.9674,41.8835,38.4854,35.7706
10/12/2020,36.1365,37.6631,42.8340,38.4850,35.9941
09/12/2020,37.0493,45.5908,43.3161,38.2230,35.8338
08/12/2020,36.2719,50.9881,44.7087,38.2229,35.8357
07/12/2020,37.0784,50.8906,45.0184,38.1085,36.1099
04/12/2020,35.9364,44.5683,44.4541,37.1653,35.5237
03/12/2020,37.0837,46.0703,44.4816,37.9959,35.5263
02/12/2020,37.9315,47.3432,44.0138,37.7157,35.3744
01/12/2020,38.5962,47.2140,44.0748,37.7796,35.6312
30/11/2020,36.9595,43.0378,43.6023,36.9533,34.8638
27/11/2020,36.6742,41.7261,43.6198,36.5621,35.1293
26/11/2020,36.0401,47.4299,43.6132,36.5615,35.1046
25/11/2020,34.6107,46.9238,41.8032,36.6262,34.6469
24/11/2020,33.8227,41.7101,39.8323,35.5636,33.8030
23/11/2020,34.0755,43.2001,40.8226,35.5907,34.0173
20/11/2020,33.6620,44.2022,41.0785,35.7820,34.5683
19/11/2020,33.7787,43.3932,40.7494,36.0100,34.7294
18/11/2020,35.2499,42.5807,39.6929,35.6222,34.5968
17/11/2020,36.7505,45.2048,39.9304,35.7253,35.5946
16/11/2020,37.6837,48.4758,39.8116,35.8874,35.4989
13/11/2020,36.4008,45.2183,38.4275,35.2297,35.4965
12/11/2020,35.7081,43.9636,37.7220,34.7381,35.1319
11/11/2020,36.1128,40.5679,35.8203,34.2527,39.1311
10/11/2020,35.3243,44.5884,35.5058,33.9211,38.9945
09/11/2020,35.6709,44.4147,36.0554,33.7603,40.5809
06/11/2020,34.8720,47.4939,36.4257,33.8048,40.4824
05/11/2020,34.8645,47.3705,36.5643,34.4379,40.6429
04/11/2020,36.6071,43.3592,35.5884,33.7423,40.2519
03/11/2020,38.9195,42.4209,36.8226,33.5230,40.2655
02/11/2020,39.5488,41.2129,35.2526,32.3094,39.6249
30/10/2020,39.5652,46.4007,35.2159,32.2784,39.6332
29/10/2020,37.2243,43.7962,34.2610,32.2595,39.3878
