正股,中國人壽保險股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,34.5798,45.8450,28.0872,30.3682,30.7709
21/01/2021,37.4709,38.0466,24.5844,28.9418,29.8235
20/01/2021,38.3360,38.1612,24.8474,30.3450,29.8302
19/01/2021,36.9506,38.2939,24.9866,30.7186,30.0229
18/01/2021,37.2294,38.7150,24.5526,30.5616,30.2118
15/01/2021,36.1843,38.7150,24.6183,30.7026,30.2294
14/01/2021,38.5821,38.7078,24.5684,30.6932,30.2208
13/01/2021,41.0340,36.9045,25.0976,30.5772,30.0971
12/01/2021,43.0848,37.1329,29.2764,31.5687,30.1981
11/01/2021,32.9714,16.3615,22.9553,28.3002,27.9236
08/01/2021,32.9507,14.5786,23.7715,28.3030,27.8373
07/01/2021,32.7087,14.6120,23.8858,28.2770,27.8569
06/01/2021,32.0454,16.3322,24.1395,28.4557,27.8587
05/01/2021,30.1180,15.6660,23.8540,28.3480,27.8522
04/01/2021,30.8992,14.7251,23.6673,28.3030,27.8054
31/12/2020,28.3562,15.8828,24.2395,28.3073,27.8754
30/12/2020,27.1193,15.9093,24.2146,28.3468,27.8747
29/12/2020,29.1820,16.4643,24.1991,29.9269,28.0304
28/12/2020,29.8271,16.3732,25.0273,29.9182,29.0097
24/12/2020,28.4400,13.1384,25.6810,29.6876,28.8152
23/12/2020,28.2557,11.3835,25.5493,29.6842,30.0958
22/12/2020,29.2543,11.4181,25.9015,29.6720,30.3003
21/12/2020,29.1615,11.5505,25.9917,30.2922,30.2976
18/12/2020,25.9999,11.8732,26.8101,30.3409,30.4196
17/12/2020,27.9505,11.9096,26.8104,30.3322,30.5463
16/12/2020,27.4683,7.5834,26.9052,30.7376,30.5495
15/12/2020,27.5261,7.8351,27.4230,32.1500,30.6780
14/12/2020,28.1052,16.9936,29.2783,32.2907,30.6274
11/12/2020,28.2852,29.5355,29.2908,32.3088,30.6929
10/12/2020,29.6456,35.0496,31.6993,32.2627,31.5703
09/12/2020,30.3750,37.4768,32.9297,32.2469,31.5600
08/12/2020,30.0942,37.8372,32.9641,32.2492,31.5613
07/12/2020,31.7259,37.8359,35.2036,32.1981,31.8023
04/12/2020,30.7130,37.4162,35.9280,32.4282,31.8698
03/12/2020,30.8912,37.3018,36.0134,32.8715,31.8528
02/12/2020,32.7525,38.5656,36.2106,32.8704,31.8380
01/12/2020,33.6441,38.5656,36.2332,32.8745,32.6723
30/11/2020,32.2101,36.3835,35.5737,32.4822,32.4358
27/11/2020,30.7522,24.9173,34.1048,30.8821,32.3147
26/11/2020,29.3696,26.5077,33.0938,30.2524,31.9025
25/11/2020,29.0387,23.4589,32.6289,29.8525,34.4829
24/11/2020,28.6140,23.9672,32.4810,29.8285,34.4660
23/11/2020,29.3133,24.2067,32.6264,29.7373,35.9869
20/11/2020,29.2725,26.7865,32.6449,29.8412,35.9835
19/11/2020,29.4635,26.6560,32.6986,29.8482,36.4350
18/11/2020,30.5574,24.4343,32.2306,29.7080,36.3999
17/11/2020,31.1359,27.1871,32.3341,29.7136,38.1857
16/11/2020,32.0931,31.9280,35.0176,29.9511,38.2225
13/11/2020,30.6733,31.1048,34.5295,30.9845,39.8018
12/11/2020,30.8356,35.2877,33.3510,30.4623,40.1501
11/11/2020,32.0082,38.9347,33.2229,32.2631,46.1588
10/11/2020,31.0100,38.4828,33.1565,32.4414,46.3658
09/11/2020,32.2190,43.5595,34.4501,32.4381,48.8951
06/11/2020,31.6891,43.8935,33.9712,32.2871,48.7752
05/11/2020,32.5336,44.2353,33.9419,32.4650,48.8514
04/11/2020,34.9829,42.8601,34.5115,32.4293,48.8226
03/11/2020,37.6186,42.9335,36.7522,32.4045,48.7266
02/11/2020,37.1042,37.1661,35.3735,31.4557,48.3730
30/10/2020,37.7072,44.1804,35.3939,31.5427,48.4038
29/10/2020,35.0618,39.3361,33.3504,31.7727,47.8607
