正股,廣州富力地產股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,25.7051,31.6155,23.2421,20.6113,25.5755
21/01/2021,26.7595,28.4753,22.4144,20.0627,25.5246
20/01/2021,26.8751,27.7182,22.1198,20.0230,26.7384
19/01/2021,26.9297,23.9088,21.1260,19.4966,26.4869
18/01/2021,23.6782,19.0594,19.4057,18.7180,25.9067
15/01/2021,21.1593,20.6122,18.0924,18.2525,25.5597
14/01/2021,23.5542,21.8326,18.2964,18.3302,25.5569
13/01/2021,23.9593,22.0428,18.2811,18.4152,25.6364
12/01/2021,25.8598,22.9761,17.8341,18.1681,25.5698
11/01/2021,25.5558,23.1213,18.0300,18.1689,25.5364
08/01/2021,25.4827,22.1798,16.8580,18.1120,25.3081
07/01/2021,26.5931,22.9858,16.8410,18.1049,25.4057
06/01/2021,26.9642,23.2090,16.8467,18.8083,25.6125
05/01/2021,28.8628,25.8813,16.9535,19.3665,25.6203
04/01/2021,28.4249,25.4737,17.2367,20.6455,26.0545
31/12/2020,26.9668,22.1710,15.7942,19.9864,25.9240
30/12/2020,28.1441,20.8743,15.1540,20.0439,25.8388
29/12/2020,28.6015,20.8938,15.1723,20.0376,25.8260
28/12/2020,28.3170,16.2694,13.5182,19.7324,25.5559
24/12/2020,27.1576,16.2701,14.1844,19.7820,25.7541
23/12/2020,27.4121,11.6887,14.0157,23.0314,25.6830
22/12/2020,30.2583,13.8175,15.6724,24.6280,25.7037
21/12/2020,29.9149,13.5852,16.6754,24.8713,25.9530
18/12/2020,22.2314,9.5132,15.8932,24.5600,25.8230
17/12/2020,22.8151,11.0158,16.0427,24.5899,25.9402
16/12/2020,22.5001,11.6716,17.5278,25.5441,25.9322
15/12/2020,22.1180,12.4234,17.5554,25.6657,25.9402
14/12/2020,23.2450,12.2327,17.7315,25.7984,25.9465
11/12/2020,23.5736,12.1522,17.6975,25.9279,25.9673
10/12/2020,25.6065,13.6825,17.6992,26.7181,26.0079
09/12/2020,24.5333,13.4715,17.9076,26.8375,26.1867
08/12/2020,23.5197,12.5323,17.7905,27.1260,26.1569
07/12/2020,24.5522,12.7462,18.0533,28.9342,26.1763
04/12/2020,23.8384,12.8464,17.9746,28.9063,26.2966
03/12/2020,25.5136,13.4101,18.3040,28.7627,26.2399
02/12/2020,27.5285,12.7762,18.6141,28.7148,26.3880
01/12/2020,28.2669,12.2271,18.5319,28.6429,26.4151
30/11/2020,26.8546,12.3961,18.7456,28.7487,26.4204
27/11/2020,26.9119,12.9944,18.7210,28.8022,26.4383
26/11/2020,27.9136,11.9543,18.5956,28.7023,26.3945
25/11/2020,28.4948,13.7672,19.5617,28.7392,26.6299
24/11/2020,29.1130,19.9403,19.5529,28.8622,26.6274
23/11/2020,28.4843,22.5807,20.8684,29.1535,26.8993
20/11/2020,29.5671,23.3514,21.7870,29.1290,26.8690
19/11/2020,29.1032,22.9759,23.7983,29.5557,26.8380
18/11/2020,29.4578,25.5479,23.6866,29.7850,26.8060
17/11/2020,27.8198,25.6029,24.1162,29.8034,27.1784
16/11/2020,29.4418,25.2530,24.0486,29.7682,27.2797
13/11/2020,28.1745,24.0189,24.1599,29.6789,27.2351
12/11/2020,27.8227,21.2185,23.4975,29.7291,27.7497
11/11/2020,28.5978,13.2584,27.5296,29.4483,28.5933
10/11/2020,25.8455,14.0164,30.5054,29.3006,28.5283
09/11/2020,23.0629,15.5869,30.8674,29.4511,29.3255
06/11/2020,27.2000,15.7978,31.0271,29.5726,29.3312
05/11/2020,26.2241,17.4174,31.0649,29.7247,29.3586
04/11/2020,27.4218,15.1041,31.9385,29.3679,29.1121
03/11/2020,30.1452,16.3293,32.1236,29.3712,29.0996
02/11/2020,30.2142,16.7958,32.2170,29.3374,29.1098
30/10/2020,29.6522,16.7609,32.4507,29.3773,29.1248
29/10/2020,29.1092,17.0938,33.7496,29.4267,29.2497
