正股,盈富基金

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,18.7888,16.8734,14.2532,17.5536,16.9527
21/01/2021,18.8854,12.5677,13.2018,17.2079,16.7238
20/01/2021,19.6266,13.5964,13.4684,17.3123,16.7481
19/01/2021,19.5823,13.7134,14.2991,17.2652,16.7470
18/01/2021,15.7606,7.8398,12.3421,16.4726,16.1888
15/01/2021,15.9510,7.9715,12.3651,16.4762,16.1727
14/01/2021,16.4672,8.0899,12.3983,16.4682,16.2342
13/01/2021,17.8031,11.9819,12.3133,16.4241,16.2093
12/01/2021,17.4691,11.5986,13.8326,16.5469,16.2184
11/01/2021,18.5229,12.8046,13.6493,17.1236,16.1479
08/01/2021,17.3420,12.8320,13.7002,17.1390,16.2616
07/01/2021,17.9387,12.5086,13.3646,17.0148,16.1852
06/01/2021,18.2493,12.7550,13.2498,17.3780,16.1976
05/01/2021,17.0530,13.7970,13.2366,17.3739,16.1944
04/01/2021,16.4485,15.5030,13.2227,17.4221,16.1882
31/12/2020,16.8058,15.3202,13.2011,17.4742,16.3231
30/12/2020,16.3217,15.8225,13.2226,17.5699,16.4591
29/12/2020,16.6050,12.5386,11.5647,17.1280,16.3253
28/12/2020,17.6097,11.6151,11.5164,17.0998,16.2742
24/12/2020,16.2409,11.6210,11.4403,17.1752,16.2545
23/12/2020,16.3966,11.5760,11.4350,17.2441,16.2873
22/12/2020,17.0862,11.5650,11.1648,17.2063,16.2391
21/12/2020,16.7964,11.5601,11.3326,17.5334,16.2045
18/12/2020,15.3167,13.1283,11.5913,17.4798,16.3060
17/12/2020,14.6752,12.3939,11.2600,17.4588,16.4830
16/12/2020,14.7274,12.6488,13.5426,18.0114,16.4645
15/12/2020,15.4737,11.1733,13.4455,17.9167,16.6288
14/12/2020,14.8798,11.2286,14.3166,18.1186,16.6418
11/12/2020,14.6886,14.8855,14.5774,18.0921,16.6588
10/12/2020,14.4663,15.0435,20.4624,18.1001,16.9641
09/12/2020,14.7835,15.4281,20.4653,18.1087,16.9853
08/12/2020,14.8750,14.7108,20.3926,18.0611,16.9462
07/12/2020,15.1741,14.6013,20.4260,18.0321,16.9587
04/12/2020,14.9074,12.5294,19.9741,17.8325,16.7947
03/12/2020,15.7884,12.5108,19.9731,17.8412,16.7993
02/12/2020,15.7492,12.3849,19.9633,17.7942,16.7501
01/12/2020,16.7567,12.4890,19.9419,17.8762,17.1401
30/11/2020,16.9850,12.1296,19.9219,17.8640,17.1693
27/11/2020,15.5512,6.2758,19.0725,17.3820,17.3029
26/11/2020,16.2906,6.5014,20.2460,17.3580,17.6512
25/11/2020,16.4482,6.5014,20.2459,17.4817,17.6370
24/11/2020,16.3997,6.5409,20.2517,17.5205,17.6565
23/11/2020,16.1275,7.6005,20.9341,17.5598,17.9825
20/11/2020,16.1570,8.8546,20.9347,17.5592,17.9794
19/11/2020,16.1643,9.1109,21.0320,17.5554,18.0954
18/11/2020,16.0826,14.0490,21.0635,17.7814,18.0875
17/11/2020,16.4472,15.1466,21.1933,17.9632,18.4014
16/11/2020,16.8393,16.7370,21.2918,18.3376,18.4216
13/11/2020,16.8338,17.1211,21.2725,18.2846,18.3671
12/11/2020,17.5053,32.2997,21.4877,18.2815,18.4602
11/11/2020,18.3617,32.3486,21.5115,18.3261,19.5841
10/11/2020,17.4629,32.4454,21.5554,18.3400,19.6343
09/11/2020,18.5216,32.6615,22.1997,18.2467,20.2811
06/11/2020,18.8172,32.3554,22.0491,18.2922,20.2252
05/11/2020,18.3540,32.1945,22.2104,18.6148,20.2661
04/11/2020,22.5555,28.8629,21.6430,17.7265,19.7894
03/11/2020,21.7925,28.8119,21.6487,18.0246,19.7891
02/11/2020,22.2654,26.4074,21.0780,17.5256,19.6175
30/10/2020,24.1962,25.9292,20.5221,17.2993,19.4548
29/10/2020,19.9173,14.6124,15.6353,15.0538,17.8735
