正股,CSOP富時中國A50 ETF

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,27.0666,26.2543,23.3935,21.1857,20.4450
21/01/2021,27.9082,26.3727,23.2217,20.9734,20.3264
20/01/2021,26.7819,26.3659,22.7830,21.5698,20.1554
19/01/2021,26.6323,28.1271,23.0642,21.5797,20.3365
18/01/2021,29.0804,27.2597,22.6304,21.3347,20.1883
15/01/2021,28.4237,28.8431,22.6611,21.3757,20.4006
14/01/2021,29.0405,28.8704,22.6505,21.4088,20.5351
13/01/2021,27.5895,23.9529,22.1852,20.8592,20.1657
12/01/2021,28.5570,23.5133,22.4789,20.8845,20.1340
11/01/2021,26.2796,19.6505,20.7450,19.8830,19.5214
08/01/2021,25.0914,17.1738,20.4953,19.7435,19.5500
07/01/2021,25.9788,12.8394,20.3500,19.4953,19.6666
06/01/2021,24.6511,14.5559,20.2643,19.9048,19.4893
05/01/2021,23.8635,13.5030,20.0641,19.6145,19.3559
04/01/2021,23.3959,25.2706,19.8849,19.5254,19.3268
31/12/2020,22.5536,23.9163,18.9440,19.0787,19.0118
30/12/2020,21.2366,23.4347,18.6702,19.1177,18.9226
29/12/2020,21.0711,22.5561,18.2889,19.0568,18.9048
28/12/2020,21.6194,23.8741,19.0800,19.0376,19.0432
24/12/2020,20.9241,23.4123,19.4574,18.9551,18.9572
23/12/2020,20.6579,23.6727,19.4931,19.0070,19.3567
22/12/2020,21.1041,23.7947,19.5547,19.0207,19.4218
21/12/2020,21.0299,23.7672,19.6973,19.6906,19.4125
18/12/2020,20.2683,23.8412,20.7207,19.6860,19.4196
17/12/2020,20.8464,15.9915,17.6052,18.2887,18.3762
16/12/2020,22.0745,13.7460,19.4537,18.3810,18.2380
15/12/2020,21.3241,12.8745,19.3661,18.9515,18.3398
14/12/2020,21.1477,17.5927,19.3506,19.0994,18.3212
11/12/2020,20.8346,16.5527,18.9759,18.9349,18.1804
10/12/2020,21.5207,17.7596,19.3136,19.1036,18.1474
09/12/2020,21.6751,17.6213,19.1280,19.0064,18.1537
08/12/2020,23.0979,18.0409,18.8566,18.9212,18.1143
07/12/2020,23.1307,19.0704,20.6755,18.9111,18.2713
04/12/2020,23.0524,19.2124,20.3590,19.0270,18.3346
03/12/2020,23.0311,19.2223,20.3445,19.0545,18.4130
02/12/2020,23.7710,19.0209,20.3914,19.3750,18.4015
01/12/2020,24.1401,19.0364,20.4708,19.5905,20.1132
30/11/2020,22.8690,15.8890,19.7032,19.1479,19.8504
27/11/2020,22.8852,16.3938,19.5182,18.9672,19.9392
26/11/2020,23.3151,18.6276,19.3196,19.0262,19.8502
25/11/2020,22.6492,18.2294,19.1979,19.1202,20.1497
24/11/2020,23.6775,17.5057,18.8642,19.4169,20.0900
23/11/2020,24.2016,17.3404,19.8726,19.2551,21.5968
20/11/2020,24.0742,19.0542,19.4960,19.1434,21.4533
19/11/2020,24.6506,19.0879,19.4857,19.2076,21.6365
18/11/2020,24.3055,24.7885,19.4848,19.2046,21.7057
17/11/2020,24.2321,24.8334,19.7694,19.2006,22.0666
16/11/2020,25.4756,24.8731,19.8943,19.3480,22.0865
13/11/2020,23.7861,23.4587,19.2755,19.1767,22.0043
12/11/2020,22.1659,22.8477,18.5516,18.8617,21.8419
11/11/2020,22.4431,22.5024,18.4892,19.4183,25.1965
10/11/2020,22.5949,21.8879,18.3684,19.4527,25.2729
09/11/2020,24.1780,26.3892,19.6845,19.3481,26.8263
06/11/2020,22.7231,24.4157,18.8219,18.8960,26.6242
05/11/2020,22.8922,24.4160,19.2441,18.8952,26.6308
04/11/2020,23.1748,17.7940,17.4583,17.7339,26.1515
03/11/2020,24.3589,18.4160,18.8394,17.9393,26.1517
02/11/2020,23.4349,17.8244,19.0485,17.8688,26.1276
30/10/2020,23.9258,18.9148,19.0923,17.8679,26.1253
29/10/2020,23.3755,17.7454,19.2027,17.6729,26.0147
