正股,iShares 安碩富時A50中國指數ETF

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,26.4156,23.6035,22.3452,20.9288,20.4187
21/01/2021,27.7667,24.1725,22.4374,20.8327,20.4365
20/01/2021,26.7563,26.3038,22.1569,21.6434,20.3403
19/01/2021,26.2587,27.7139,22.4360,21.6626,20.5626
18/01/2021,29.4202,26.6792,21.9300,21.3879,20.4214
15/01/2021,28.5579,28.3203,21.9659,21.4691,20.6591
14/01/2021,28.3180,28.4140,21.9651,21.4886,20.7833
13/01/2021,27.7953,23.9172,21.3760,20.9871,20.4350
12/01/2021,28.0616,23.0940,21.5982,20.9362,20.3964
11/01/2021,25.7749,20.6527,20.4545,20.2252,20.0069
08/01/2021,24.5910,18.5316,20.1639,20.0841,20.1109
07/01/2021,25.6609,13.9838,19.9013,19.8433,20.3041
06/01/2021,24.7520,15.0473,19.4756,19.9853,19.9749
05/01/2021,23.9267,14.4145,19.5493,19.7680,19.9251
04/01/2021,23.5082,23.9964,19.4049,19.6843,19.8817
31/12/2020,22.1122,22.3143,18.4588,19.2325,19.5767
30/12/2020,21.1037,22.0014,18.2221,19.3529,19.4987
29/12/2020,20.9713,21.2310,17.8639,19.2848,19.4758
28/12/2020,21.6419,22.5063,18.6621,19.2569,19.5593
24/12/2020,20.5213,21.8239,18.8614,19.1175,19.4396
23/12/2020,20.7729,22.0990,19.0114,19.1963,19.8639
22/12/2020,21.0408,22.0949,19.0567,19.1851,19.9187
21/12/2020,20.9798,21.9377,19.1196,19.5990,19.8874
18/12/2020,20.3589,22.0102,20.3486,19.6071,19.9174
17/12/2020,19.7530,15.7510,17.9801,18.6065,19.1326
16/12/2020,20.0488,14.0203,20.3116,18.8065,19.0400
15/12/2020,21.7792,12.9786,20.2198,19.4962,19.1766
14/12/2020,20.9213,16.6752,20.2061,19.6921,19.1528
11/12/2020,20.1954,15.4645,19.8210,19.5184,18.9988
10/12/2020,20.5883,17.3325,19.9525,19.6174,18.9475
09/12/2020,21.5344,17.3504,19.7931,19.5654,18.9659
08/12/2020,22.0454,17.2014,19.4789,19.5546,18.9130
07/12/2020,22.1999,18.6953,21.4961,19.5651,19.0358
04/12/2020,22.0781,19.3605,21.2339,19.7549,19.0777
03/12/2020,22.4065,19.4445,21.2029,19.8153,19.2062
02/12/2020,22.7543,19.2771,21.3348,20.1632,19.1992
01/12/2020,23.2863,19.2880,21.3737,20.3496,20.5901
30/11/2020,22.7476,17.1602,20.8450,20.0124,20.4366
27/11/2020,23.2246,17.4897,20.5912,19.8601,20.6082
26/11/2020,23.0338,19.0074,20.3003,19.8977,20.4727
25/11/2020,22.8790,19.0527,20.1930,20.1021,20.7839
24/11/2020,23.3471,18.8676,19.9854,20.5610,20.7798
23/11/2020,24.3125,18.2438,20.8090,20.3707,22.2654
20/11/2020,23.8522,20.0579,20.3182,20.2403,22.1068
19/11/2020,24.7537,20.1815,20.2867,20.2678,22.2427
18/11/2020,25.0712,26.7049,20.2712,20.2640,22.3092
17/11/2020,24.3131,26.8290,20.6711,20.2561,22.7268
16/11/2020,25.2314,26.8427,20.7591,20.3762,22.7839
13/11/2020,24.7290,25.4155,20.1348,20.1294,22.7163
12/11/2020,21.8898,24.6116,19.5442,19.8778,22.6198
11/11/2020,22.0847,23.8364,19.4087,20.4096,25.8960
10/11/2020,22.9566,22.9397,19.1988,20.4257,26.0080
09/11/2020,23.4032,28.0735,20.0388,20.3398,27.4298
06/11/2020,22.4521,25.8061,19.0783,19.8590,27.1924
05/11/2020,22.3391,25.6783,19.5110,19.8313,27.1798
04/11/2020,22.6569,18.3880,17.3793,18.5097,26.6191
03/11/2020,23.4752,18.7818,19.0767,18.7769,26.6152
02/11/2020,23.7267,18.2157,19.3919,18.7022,26.6060
30/10/2020,23.5328,19.0438,19.4352,18.6950,26.6147
29/10/2020,23.5695,18.4427,19.5878,18.5630,26.5450
