正股,恒生H股指數上市基金

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,21.2633,18.7804,16.8078,17.0893,17.1898
21/01/2021,21.7494,13.7786,15.5942,16.6536,16.8827
20/01/2021,21.9892,17.7442,15.5768,16.9026,16.8734
19/01/2021,21.5893,17.3359,16.0470,16.5991,16.7644
18/01/2021,20.3495,15.7673,14.9975,16.0799,16.4137
15/01/2021,19.0172,15.8051,14.7190,15.9962,16.4692
14/01/2021,19.7567,15.6734,15.0172,15.9961,16.5411
13/01/2021,19.9742,17.2250,14.9161,15.9435,16.4926
12/01/2021,20.7125,16.9846,16.2578,16.1136,16.4962
11/01/2021,21.3247,19.7648,16.0489,16.3163,16.3831
08/01/2021,19.5049,19.9154,16.0973,16.2001,16.5906
07/01/2021,19.5784,18.5359,15.3323,15.8250,16.3203
06/01/2021,19.2017,15.6733,14.6166,16.2273,16.1280
05/01/2021,18.4550,15.5929,14.2770,16.0124,15.9676
04/01/2021,18.6278,16.3191,14.2843,16.0413,15.9640
31/12/2020,18.2674,16.3481,14.3744,16.1710,15.9992
30/12/2020,17.9040,16.5007,14.3614,16.2228,16.0509
29/12/2020,18.2688,13.2595,13.0551,15.7777,15.9659
28/12/2020,18.2004,11.0806,12.4659,15.6998,15.8806
24/12/2020,17.3681,8.9633,11.9868,15.6290,15.7405
23/12/2020,17.6962,9.5904,12.0746,15.7035,15.8806
22/12/2020,18.2228,9.4615,11.8319,15.7635,15.8449
21/12/2020,17.6987,9.5942,11.8848,16.3712,15.8424
18/12/2020,15.8681,11.8674,12.2561,16.2998,15.8146
17/12/2020,15.8104,11.6612,12.1657,16.4669,16.0140
16/12/2020,15.8632,11.4322,15.6308,16.5755,16.0441
15/12/2020,16.4363,10.9807,15.5158,16.5437,16.1205
14/12/2020,16.5565,11.8296,16.0190,17.4159,16.1741
11/12/2020,16.4384,15.0935,16.6315,17.4164,16.2333
10/12/2020,17.0602,16.1261,17.7442,17.4332,16.4367
09/12/2020,17.2309,17.4413,17.5526,17.3627,16.4124
08/12/2020,17.4693,16.8510,17.5920,17.3348,16.3613
07/12/2020,17.9969,16.8364,18.0127,17.3284,16.4320
04/12/2020,17.1563,15.8600,17.3213,17.1254,16.2258
03/12/2020,18.1538,15.8044,17.3140,17.1409,16.2266
02/12/2020,18.5223,15.9528,17.4250,17.3454,16.2243
01/12/2020,18.8683,15.6257,17.1761,17.3437,16.5997
30/11/2020,19.5126,15.2315,17.1636,17.3125,16.6135
27/11/2020,18.6161,10.2535,16.0760,16.7491,16.5335
26/11/2020,18.4760,10.1889,16.7733,16.6809,16.6679
25/11/2020,18.6422,8.5113,16.5276,16.9530,16.5737
24/11/2020,18.3988,8.3571,16.3942,16.9181,16.5654
23/11/2020,18.6403,8.5576,17.6891,16.9491,17.0465
20/11/2020,18.7489,9.1891,17.5903,16.8608,16.9682
19/11/2020,18.9984,9.3788,17.6176,16.8554,17.2120
18/11/2020,18.4926,18.4816,17.6232,16.8688,17.2172
17/11/2020,18.9149,18.5952,17.6925,16.9472,17.6705
16/11/2020,19.4653,19.0334,17.6239,17.3306,17.6823
13/11/2020,19.0360,19.7145,17.7292,17.4227,17.8675
12/11/2020,18.6654,23.2670,18.0960,17.4014,17.9228
11/11/2020,19.6834,23.3870,18.1960,17.5665,19.5408
10/11/2020,20.0513,23.6134,18.3588,17.5770,19.8290
09/11/2020,20.6202,24.9341,19.5048,17.5474,20.6350
06/11/2020,20.9753,24.6383,19.4293,17.4141,20.5690
05/11/2020,20.5736,24.6925,19.9441,17.7212,20.6319
04/11/2020,22.5238,18.2655,17.7351,16.3246,19.8379
03/11/2020,24.7776,18.2716,17.7785,16.4920,19.8643
02/11/2020,25.0706,16.6920,18.8526,16.2257,19.6962
30/10/2020,25.8124,15.7824,18.1428,15.9159,19.5791
29/10/2020,23.0672,14.2416,17.3345,15.8045,19.3602
