正股,渣打集團有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,25.8027,31.4638,35.8059,42.6392,41.4898
21/01/2021,25.8175,31.2515,35.4543,43.9848,41.4744
20/01/2021,25.7966,48.2034,37.0624,43.9609,41.4587
19/01/2021,25.8112,46.6708,35.6041,43.3440,41.1038
18/01/2021,25.7974,47.3856,35.6053,43.3428,41.1350
15/01/2021,25.8138,43.0650,35.7188,42.8096,40.7198
14/01/2021,25.8065,43.3486,36.6772,42.7932,40.7452
13/01/2021,25.8050,43.1988,36.7895,43.2732,40.7414
12/01/2021,25.7982,42.2787,36.6222,43.1618,41.0296
11/01/2021,25.8154,42.5852,36.9568,43.3734,40.8708
08/01/2021,25.7869,39.6489,35.8706,43.3826,40.5639
07/01/2021,25.8301,40.4959,37.0530,43.3826,40.5896
06/01/2021,25.8140,26.8329,32.8672,41.5794,39.2143
05/01/2021,25.7999,34.6830,32.6864,41.2372,38.9960
04/01/2021,25.8066,34.1578,32.5719,41.3054,38.9331
31/12/2020,25.7819,33.9845,32.6649,41.3017,38.9686
30/12/2020,25.8242,34.5390,32.5313,41.2291,39.0001
29/12/2020,25.7965,35.8357,32.7188,42.1585,39.0495
28/12/2020,25.8190,35.2443,35.1240,42.7465,39.0008
24/12/2020,25.7967,34.8567,35.6981,42.6496,38.9945
23/12/2020,25.8217,29.2387,35.8616,42.4759,38.6055
22/12/2020,25.8053,29.7699,37.6084,42.6261,38.7843
21/12/2020,25.8056,32.9934,46.7949,42.6518,38.7992
18/12/2020,25.7943,24.8388,44.0110,41.5148,38.9135
17/12/2020,25.8181,24.7081,44.7574,41.9469,39.1186
16/12/2020,25.7990,31.5378,44.4995,44.2805,39.1312
15/12/2020,25.8413,34.8038,44.8628,44.2707,39.1124
14/12/2020,25.7936,33.4929,44.3202,44.1708,38.9914
11/12/2020,25.8075,33.3597,44.3849,44.1645,39.0213
10/12/2020,25.8063,35.9674,46.8792,44.1775,39.8017
09/12/2020,25.7645,36.0526,48.3076,44.2024,41.4038
08/12/2020,25.8006,40.1563,51.4424,44.4026,41.7448
07/12/2020,25.8087,34.9688,49.6526,43.5365,41.3352
04/12/2020,25.7890,35.5715,49.7055,43.7471,41.4786
03/12/2020,25.8139,36.3386,49.6250,43.7842,41.4955
02/12/2020,25.7991,33.6593,49.1056,43.2799,41.1202
01/12/2020,25.7808,31.2465,48.5987,42.9247,41.1073
30/11/2020,25.8163,30.6225,49.1625,42.8774,41.0833
27/11/2020,25.7852,36.1386,49.0509,43.3499,41.2081
26/11/2020,25.8223,35.4288,48.8773,42.9835,41.3772
25/11/2020,25.8149,40.6822,49.9687,43.0070,41.3622
24/11/2020,25.7997,42.1663,49.3941,42.5304,40.9732
23/11/2020,25.8549,61.2321,49.2123,42.2857,40.7039
20/11/2020,25.8375,61.4698,48.8023,42.0365,40.5481
19/11/2020,25.8064,60.6071,48.9142,41.9951,40.5766
18/11/2020,25.7897,60.8523,48.8757,41.9919,40.9190
17/11/2020,25.8024,61.9732,48.8367,42.0694,41.0898
16/11/2020,25.7849,61.9790,50.2477,42.0154,41.0623
13/11/2020,25.7849,60.3505,49.8376,40.7994,40.6495
12/11/2020,25.8090,64.5886,49.2182,40.6044,40.5802
11/11/2020,25.7955,65.1716,48.3888,40.1593,41.0815
10/11/2020,25.8137,70.6102,47.7142,39.4273,40.5153
09/11/2020,25.7996,46.5097,38.5529,33.4255,37.3289
06/11/2020,25.8304,48.0773,39.1500,35.2158,37.3858
05/11/2020,25.8085,42.6781,38.4873,34.7161,36.8150
04/11/2020,25.8180,44.5645,42.8714,34.7787,36.7989
03/11/2020,25.8233,45.3824,42.8023,34.7601,36.7858
02/11/2020,25.8184,48.0550,42.1978,34.3126,36.6126
30/10/2020,25.8260,48.5471,42.1735,34.4794,36.6092
29/10/2020,25.7739,44.5627,40.4716,35.0308,35.9781
