正股,紫金礦業集團股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,67.1325,51.2473,53.2735,57.4860,54.5391
21/01/2021,70.2881,47.6991,52.0409,56.6289,54.1113
20/01/2021,67.4531,50.3119,51.9407,56.5856,54.6099
19/01/2021,64.4710,40.4684,50.7174,55.9134,54.3612
18/01/2021,66.9741,40.5525,50.9541,55.8612,55.4968
15/01/2021,63.5289,57.7773,52.7868,56.1385,55.5038
14/01/2021,63.5867,56.6688,52.1790,56.0559,55.3655
13/01/2021,66.7885,56.5574,52.0368,56.1759,55.3503
12/01/2021,63.5116,58.3576,51.9180,55.9851,55.2595
11/01/2021,66.5803,61.1086,51.8817,55.8032,55.8903
08/01/2021,66.2360,51.5015,50.6342,54.5995,55.1968
07/01/2021,69.0863,48.1810,54.6665,54.2750,55.0737
06/01/2021,67.3552,57.2281,55.1490,54.3314,54.8453
05/01/2021,65.5520,57.9928,56.8185,54.3386,55.0748
04/01/2021,66.9997,59.8252,58.1501,54.2184,55.0782
31/12/2020,60.2084,55.9856,54.9008,52.3148,54.0533
30/12/2020,57.7042,55.9553,55.6215,53.3015,54.1391
29/12/2020,57.8919,59.4760,55.6987,53.3396,54.0911
28/12/2020,61.7362,54.7243,59.9924,52.8419,53.8863
24/12/2020,55.3340,55.9413,59.5895,52.1881,54.3381
23/12/2020,55.3877,57.3569,60.6639,52.2331,54.6445
22/12/2020,57.4657,59.3810,61.2706,52.2019,54.6353
21/12/2020,57.9120,52.0425,61.2507,54.9581,53.9707
18/12/2020,58.3491,54.1509,61.2935,54.9242,55.1520
17/12/2020,57.5929,48.6686,62.1233,56.0388,55.2612
16/12/2020,52.1767,39.1773,59.7350,54.8564,55.2817
15/12/2020,52.7823,37.0361,59.6106,55.9799,55.4943
14/12/2020,54.9377,37.9368,59.3568,55.8190,56.2126
11/12/2020,53.9181,37.3051,62.4753,55.6409,56.3995
10/12/2020,52.4760,35.9517,62.5444,55.3261,56.1814
09/12/2020,54.7098,43.6022,62.3290,55.5176,56.1588
08/12/2020,56.1052,54.7410,61.7713,55.4306,56.3585
07/12/2020,58.0034,56.3023,61.7773,56.2703,56.7146
04/12/2020,58.5253,62.3155,61.4484,56.5104,56.4415
03/12/2020,59.1588,66.5484,61.2313,58.0065,57.3221
02/12/2020,60.4103,63.8096,59.8703,57.2492,57.7359
01/12/2020,61.4644,66.0012,59.9904,57.3186,58.0759
30/11/2020,62.4074,66.8774,60.6086,57.3625,58.0593
27/11/2020,62.0303,78.9093,60.5084,57.2641,57.9977
26/11/2020,65.7943,80.6587,60.1355,58.2137,57.9320
25/11/2020,62.9972,80.6646,59.1707,57.6312,57.7494
24/11/2020,65.2985,71.0636,54.6395,55.7164,56.5511
23/11/2020,66.4058,73.7893,53.5672,55.1437,57.4225
20/11/2020,61.6615,71.3913,52.3328,54.6595,57.0188
19/11/2020,61.9039,73.5787,50.9229,53.8754,56.9603
18/11/2020,62.3543,70.9915,50.0216,54.0855,57.3173
17/11/2020,65.1809,69.9093,51.3185,53.8546,57.4374
16/11/2020,69.6447,68.5254,51.0734,53.7436,58.0354
13/11/2020,57.7579,64.4128,45.6211,50.8811,58.9023
12/11/2020,62.3148,64.2994,44.3697,52.0367,58.7209
11/11/2020,57.3929,62.6836,43.2236,51.8849,60.6710
10/11/2020,58.7351,60.5779,42.1462,51.5478,60.4830
09/11/2020,62.4529,51.9142,48.8827,50.4966,60.1339
06/11/2020,61.6966,54.3931,48.7899,52.3379,60.0180
05/11/2020,53.0376,45.6025,50.0094,51.9239,59.2037
04/11/2020,54.0900,47.6047,50.3966,53.3766,59.1982
03/11/2020,57.5493,48.2961,53.1082,53.8102,59.1994
02/11/2020,55.5849,49.7534,52.8623,55.0194,59.1343
30/10/2020,49.1321,32.9060,48.0181,53.4432,58.0018
29/10/2020,50.0172,28.9800,47.4536,53.0953,57.7628
