正股,華夏滬深300指數ETF

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,26.9535,29.3597,22.6356,21.5556,20.2831
21/01/2021,28.3059,29.5363,22.6325,21.3675,20.1876
20/01/2021,27.6880,29.1305,21.9564,21.3656,19.9102
19/01/2021,27.8069,29.8999,22.2852,21.4075,20.3597
18/01/2021,29.9578,29.3763,21.8766,21.2279,20.2264
15/01/2021,29.2216,32.2805,21.8546,21.2054,20.7488
14/01/2021,29.3250,31.2189,21.5781,21.1309,20.7285
13/01/2021,28.5713,27.7689,21.2617,20.8190,20.5013
12/01/2021,29.1705,26.7538,21.2019,20.7270,20.4565
11/01/2021,27.3654,21.8922,18.6447,19.4247,19.6096
08/01/2021,25.4292,18.8329,17.9340,19.1787,19.5017
07/01/2021,25.1790,14.4931,18.0096,18.9403,19.6900
06/01/2021,25.2532,17.3901,17.6442,19.2230,19.4710
05/01/2021,24.6904,17.1035,17.5978,19.0695,19.5045
04/01/2021,24.5453,19.6224,17.3582,18.9565,19.4162
31/12/2020,22.9970,16.0356,15.2780,18.0642,18.8196
30/12/2020,21.6909,15.9097,15.2042,18.2322,18.8142
29/12/2020,21.8893,15.1713,14.7399,18.1923,18.8648
28/12/2020,22.2022,15.6760,15.4683,18.2202,18.9637
24/12/2020,20.8602,15.6100,15.4317,18.0968,18.8672
23/12/2020,21.0175,16.1786,15.4455,18.0984,19.2820
22/12/2020,21.3871,16.6353,15.8404,18.0786,19.3850
21/12/2020,21.0382,15.8584,16.0844,18.4859,19.2841
18/12/2020,20.1785,16.1911,18.0259,18.4664,19.3740
17/12/2020,19.9875,15.7266,17.6380,18.5029,19.2463
16/12/2020,20.2034,11.8024,20.3373,18.4982,19.0268
15/12/2020,20.5622,11.7019,20.3749,19.1372,19.1498
14/12/2020,20.1670,16.7654,20.3787,19.1228,19.1353
11/12/2020,19.9880,15.9192,20.3021,19.0721,19.0891
10/12/2020,20.1330,16.8327,20.7419,19.2003,19.0683
09/12/2020,21.3967,16.2774,20.7612,19.1235,19.3067
08/12/2020,21.2681,16.8570,20.3925,18.9968,19.2809
07/12/2020,21.6166,17.5213,21.1283,18.9892,19.4264
04/12/2020,22.2665,17.2507,20.8700,19.5215,19.8730
03/12/2020,21.6237,17.1295,20.9186,19.5203,19.8563
02/12/2020,22.6028,17.0570,20.9088,20.3374,19.8897
01/12/2020,21.8834,17.0989,21.0399,20.4173,21.0019
30/11/2020,21.9305,13.5627,20.5005,20.0334,20.8729
27/11/2020,22.4183,15.3033,20.4303,19.9975,21.0113
26/11/2020,22.3025,15.4896,20.3560,20.0925,20.9394
25/11/2020,22.4946,15.4763,20.3928,20.1589,21.3601
24/11/2020,22.4082,15.3419,19.9460,20.4800,21.2568
23/11/2020,22.9080,16.5051,20.9852,20.4268,22.9841
20/11/2020,22.5240,20.9843,20.7311,20.4674,22.9113
19/11/2020,23.3791,21.1955,20.7305,20.4679,23.0849
18/11/2020,23.7772,28.6194,20.7189,20.4807,23.3049
17/11/2020,24.5082,28.9070,21.0387,20.5014,23.5379
16/11/2020,25.4904,28.7732,21.1886,20.7373,23.8567
13/11/2020,23.3876,28.0698,20.8482,20.5939,23.9364
12/11/2020,21.4854,29.0675,20.5478,20.4920,23.8844
11/11/2020,22.7249,29.3463,20.5495,21.0605,25.7422
10/11/2020,23.7025,27.7949,20.0329,21.0256,25.8170
09/11/2020,23.4413,28.3763,20.6058,20.7720,26.6768
06/11/2020,22.6875,25.7417,19.1464,20.1606,26.3328
05/11/2020,22.2407,25.7759,19.6151,20.1459,26.3173
04/11/2020,23.0165,15.5694,16.6766,18.4700,25.5606
03/11/2020,24.6073,16.5330,18.1470,18.6444,25.5484
02/11/2020,23.4891,16.6172,18.0588,18.5834,25.5456
30/10/2020,23.8005,16.3914,17.9954,18.5576,25.5250
29/10/2020,24.8135,14.8695,17.8745,18.3147,25.4031
