正股,中國建材股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,45.9827,61.1978,47.8161,49.5832,44.0930
21/01/2021,48.9720,55.8145,46.0398,48.8350,43.4985
20/01/2021,50.9293,56.3458,46.2134,48.9302,43.4641
19/01/2021,52.3892,59.6814,46.7868,48.7683,43.3711
18/01/2021,50.2311,56.2738,44.6903,47.7463,42.4115
15/01/2021,47.5354,60.0604,44.0561,47.5478,42.1333
14/01/2021,49.3036,58.9344,43.5544,47.2593,42.0409
13/01/2021,50.8579,57.2072,43.8054,47.4572,42.1428
12/01/2021,55.4540,56.5248,47.4904,47.6152,42.4889
11/01/2021,49.4359,51.6436,42.9100,45.6389,40.9694
08/01/2021,48.0561,49.0638,42.6330,46.0247,41.0607
07/01/2021,48.4631,50.2489,44.2018,46.0187,41.0774
06/01/2021,50.3005,50.7174,43.8072,45.8624,40.9745
05/01/2021,41.7415,39.2696,39.6084,43.4098,39.1231
04/01/2021,40.2667,39.3290,39.5687,43.5006,39.2971
31/12/2020,38.8444,39.4363,38.9867,42.8738,39.4054
30/12/2020,36.4381,35.7364,37.2146,43.0059,38.9543
29/12/2020,38.5834,35.7627,38.4138,43.0008,38.9925
28/12/2020,37.5228,31.6641,38.7118,42.6270,38.8543
24/12/2020,36.0393,30.0905,39.1504,42.5311,38.7100
23/12/2020,37.1917,29.9935,39.1144,42.5379,40.1563
22/12/2020,38.4525,29.8353,50.2829,42.5313,40.1084
21/12/2020,39.2561,29.8543,50.3434,42.6163,40.2937
18/12/2020,36.6955,30.0810,49.1615,41.8039,42.0160
17/12/2020,39.1844,31.4738,49.1513,41.7992,42.1099
16/12/2020,37.4143,27.7301,50.0508,42.0948,44.0228
15/12/2020,36.3150,24.9245,50.0672,41.9993,46.0202
14/12/2020,38.3166,30.1515,50.1834,42.0424,46.0838
11/12/2020,37.1778,40.7136,52.2055,42.2019,46.2290
10/12/2020,37.4037,42.8869,52.1619,42.2756,46.6964
09/12/2020,37.6193,44.2167,52.1009,42.4135,47.5561
08/12/2020,38.4987,47.0878,52.2694,42.4050,47.5360
07/12/2020,37.9101,47.2603,52.2966,42.3433,49.9298
04/12/2020,38.9742,51.0516,51.4586,41.9122,50.3754
03/12/2020,41.0799,49.7097,51.1781,41.6097,50.4424
02/12/2020,41.3097,49.1497,51.4424,41.5177,52.8809
01/12/2020,41.8605,49.2526,51.3360,41.6370,53.2383
30/11/2020,38.0818,50.2841,51.6051,41.6549,53.1337
27/11/2020,44.4510,42.2310,48.2377,40.1601,52.4986
26/11/2020,44.1485,45.2829,48.3326,40.2149,52.4609
25/11/2020,43.4765,44.8314,49.6975,40.5913,56.7988
24/11/2020,45.5696,64.7574,47.8920,39.6827,56.2917
23/11/2020,47.3693,64.1579,47.3791,39.5999,56.4014
20/11/2020,44.5394,62.3644,46.5248,38.9233,56.1706
19/11/2020,44.4260,62.3717,46.5888,39.2387,56.1665
18/11/2020,45.5378,61.2444,45.7905,39.6057,56.1799
17/11/2020,50.8169,60.5313,46.7473,39.6077,56.5077
16/11/2020,47.9897,60.2518,46.3535,39.2934,56.4167
13/11/2020,41.6689,62.5105,45.6793,39.0519,56.2307
12/11/2020,44.1441,57.0293,44.9175,38.5205,56.1153
11/11/2020,46.0441,55.8928,44.8078,40.5442,56.7865
10/11/2020,38.4140,36.6582,33.8060,34.3966,54.2002
09/11/2020,39.3778,36.3423,33.9335,34.6807,55.0324
06/11/2020,39.5854,41.1945,33.7374,38.3353,55.0977
05/11/2020,39.2525,43.2510,33.7373,38.5181,55.1919
04/11/2020,39.6705,38.5516,33.0243,40.9013,54.8141
03/11/2020,42.1949,37.7596,32.7071,44.1704,54.8780
02/11/2020,41.9037,37.6712,32.3439,44.1340,54.8510
30/10/2020,40.7025,25.3929,28.5139,42.9060,54.2606
29/10/2020,39.5306,28.9710,28.6010,43.5697,54.2822
