正股,交通銀行股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,23.2317,22.0876,21.2699,24.0647,26.4811
21/01/2021,23.9775,16.9890,20.5784,23.7683,26.2144
20/01/2021,24.7777,16.9544,20.8764,24.5332,26.2308
19/01/2021,24.4797,17.3310,21.7508,24.8177,26.2323
18/01/2021,25.5684,16.3077,21.2289,24.9703,26.2226
15/01/2021,25.8963,17.0448,21.8307,24.9675,26.2293
14/01/2021,22.9505,17.5822,21.6703,25.2153,26.1698
13/01/2021,25.0597,18.9847,21.8028,25.3712,26.1690
12/01/2021,25.8122,19.0473,22.1615,26.5006,26.3062
11/01/2021,28.1381,21.7945,25.7993,26.5135,26.3673
08/01/2021,25.6240,18.1519,24.4252,26.2158,26.4887
07/01/2021,24.6926,19.4017,24.3372,26.1236,26.4515
06/01/2021,24.3693,19.4448,24.5227,27.0904,26.4498
05/01/2021,23.2883,19.3242,24.3073,27.0665,26.3316
04/01/2021,24.7056,19.5791,24.3454,27.0761,26.3013
31/12/2020,23.8814,19.5303,24.5342,27.0560,26.3005
30/12/2020,23.3956,20.3171,24.5256,27.0247,26.3195
29/12/2020,23.5274,19.6866,24.4270,26.9308,26.5056
28/12/2020,22.8554,20.3084,24.4723,27.0909,26.5074
24/12/2020,21.7216,18.6263,24.8796,28.2283,26.1698
23/12/2020,21.8980,21.4934,24.4970,29.4324,26.1299
22/12/2020,22.2352,24.5694,25.3281,29.2691,26.0413
21/12/2020,22.1021,24.8965,25.5170,29.3710,26.0936
18/12/2020,20.8992,25.8693,26.4933,29.8080,26.0324
17/12/2020,21.3957,25.7980,26.2478,29.7389,26.0695
16/12/2020,21.5249,26.9343,27.1352,29.8755,26.0694
15/12/2020,21.8762,26.0933,27.1725,29.8242,26.1231
14/12/2020,21.6733,26.9319,27.4644,29.8242,26.1231
11/12/2020,22.4068,27.3018,28.2958,29.7693,26.1002
10/12/2020,22.6602,35.2536,28.3786,29.5487,26.0887
09/12/2020,22.9332,31.6776,26.8612,28.9035,25.7822
08/12/2020,24.1854,29.9093,26.9141,28.7269,25.5392
07/12/2020,24.2670,30.1600,28.0501,28.6710,25.5350
04/12/2020,24.7970,28.4687,27.9095,28.3796,25.3534
03/12/2020,24.5307,29.0132,28.5246,28.5607,25.3267
02/12/2020,25.7302,28.3146,27.9291,28.3317,25.1796
01/12/2020,27.0452,27.8996,28.4648,28.2785,25.1555
30/11/2020,26.6523,27.6831,28.7580,28.2441,25.1158
27/11/2020,26.0473,26.1829,30.1579,28.2730,25.1114
26/11/2020,24.0683,19.8624,27.5935,26.8582,24.0478
25/11/2020,23.7996,19.7793,28.2291,27.6618,24.0813
24/11/2020,23.2912,23.6566,28.1873,27.6352,24.0616
23/11/2020,24.4815,23.6107,29.6127,27.5630,23.9881
20/11/2020,23.6895,26.9293,29.7013,27.4860,24.0853
19/11/2020,23.9061,26.1853,29.5619,27.4207,24.1261
18/11/2020,23.1403,26.7998,29.1946,27.3282,24.1117
17/11/2020,24.1549,27.7275,29.2153,27.3640,24.2895
16/11/2020,24.9585,28.1096,29.2171,27.6852,24.3372
13/11/2020,24.5140,30.0859,29.4343,27.6657,24.3164
12/11/2020,25.8651,24.9460,30.8911,26.9404,24.0242
11/11/2020,27.8970,24.9856,32.8234,27.0054,24.2670
10/11/2020,25.7371,27.6237,32.5160,26.5918,24.0340
09/11/2020,25.8409,32.4360,32.7837,26.5879,25.3419
06/11/2020,26.3785,31.1827,33.2006,25.9968,24.8827
05/11/2020,26.3671,32.8980,33.3139,26.1543,24.8582
04/11/2020,26.5253,30.7162,32.8086,25.5948,24.4428
03/11/2020,29.7213,32.0251,32.7203,25.7021,24.4354
02/11/2020,31.7868,31.5436,32.4250,25.4720,24.2680
30/10/2020,31.2567,34.4762,31.3029,24.7058,23.6974
29/10/2020,29.4160,33.5259,31.0168,24.9056,23.6197
