正股,中國恒大集團

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,59.3618,89.2291,55.8390,46.2999,71.7421
21/01/2021,57.6469,79.7932,52.5381,44.2767,70.9726
20/01/2021,58.5677,80.9981,52.5098,45.6319,70.9855
19/01/2021,57.0651,78.1721,52.0986,45.4988,70.9088
18/01/2021,52.8639,32.5243,30.8812,34.3828,66.4439
15/01/2021,48.3339,38.2678,28.4349,33.8114,66.2102
14/01/2021,52.8807,41.4250,29.1138,34.1269,66.2176
13/01/2021,57.0759,41.4224,29.6342,34.1626,66.2176
12/01/2021,59.4900,41.7823,30.3274,34.1787,66.3234
11/01/2021,61.6514,41.4332,32.5096,34.1410,66.4084
08/01/2021,58.9795,37.9089,32.8757,50.6070,66.4417
07/01/2021,59.1173,37.9670,34.0406,50.5814,66.4593
06/01/2021,59.8000,38.2265,33.7142,50.5043,66.4080
05/01/2021,59.9643,35.0152,33.0260,50.4615,66.3767
04/01/2021,59.6591,34.1426,32.8247,50.5494,66.4613
31/12/2020,53.2522,24.3252,29.7923,49.6549,66.0620
30/12/2020,55.2756,17.3683,28.1749,49.1959,65.8453
29/12/2020,59.7408,17.0327,28.4806,49.2067,65.8783
28/12/2020,59.9912,17.6119,28.0644,61.9161,65.8480
24/12/2020,57.5466,16.4538,27.8181,61.8380,65.8375
23/12/2020,57.5093,17.0143,28.0438,73.1865,68.7761
22/12/2020,57.8953,16.8355,28.5689,76.0385,69.1980
21/12/2020,57.4671,16.4103,28.7006,76.8141,69.1336
18/12/2020,49.7267,16.7208,29.5630,76.8145,69.1306
17/12/2020,51.6193,23.2050,29.4818,76.8700,69.1248
16/12/2020,53.2981,23.3330,31.3208,76.8943,69.1299
15/12/2020,55.1653,24.8851,31.5014,76.9064,69.1253
14/12/2020,55.6783,27.2686,31.4567,76.8847,69.1223
11/12/2020,55.6451,27.0191,31.3676,77.2092,69.0643
10/12/2020,57.8930,36.4628,34.1083,78.9398,69.2674
09/12/2020,58.2501,41.1032,35.0851,78.9355,69.2772
08/12/2020,58.8094,44.6132,35.0147,78.9719,69.3098
07/12/2020,59.1910,43.8680,38.4131,78.9604,69.2682
04/12/2020,59.0072,44.5070,38.6127,78.9723,69.2552
03/12/2020,59.5727,41.3390,37.5225,78.6452,69.4332
02/12/2020,60.3667,41.4055,38.3846,78.7832,69.4223
01/12/2020,62.3074,39.3163,38.3149,78.6380,70.0680
30/11/2020,62.7845,39.5636,38.2404,78.5745,70.0470
27/11/2020,64.9645,37.4035,37.3199,78.5421,70.1014
26/11/2020,65.6913,29.8622,36.0857,78.3083,69.7650
25/11/2020,67.2238,19.4427,64.0586,78.2802,69.7136
24/11/2020,64.6898,18.2419,63.5685,78.0443,69.5224
23/11/2020,65.9002,21.2808,63.5950,78.0496,69.9912
20/11/2020,65.6739,22.2413,63.9304,78.1204,69.9344
19/11/2020,65.5981,22.1310,64.1934,78.2440,70.2819
18/11/2020,66.4417,27.7743,64.1900,78.3966,70.2877
17/11/2020,66.5122,27.7020,64.2497,78.3986,70.2879
16/11/2020,66.7738,23.5445,64.1472,78.3649,70.3067
13/11/2020,65.2864,22.7421,83.3826,78.3805,70.8508
12/11/2020,64.8068,27.6996,83.4012,78.4321,72.1593
11/11/2020,66.4131,22.4427,99.3668,82.1399,73.6147
10/11/2020,65.4238,25.1816,104.1390,82.5892,76.6616
09/11/2020,67.1681,43.7033,105.5812,82.4900,79.8736
06/11/2020,65.2937,45.5379,105.4236,82.3191,79.7737
05/11/2020,66.8382,46.0604,105.5739,82.3140,79.7684
04/11/2020,68.7205,46.7255,105.1106,81.9233,79.6592
03/11/2020,70.8293,48.5198,105.0654,81.8646,79.6756
02/11/2020,75.1576,48.4979,105.0251,81.8220,79.6571
30/10/2020,76.3333,48.1496,105.4766,81.7532,79.7391
29/10/2020,68.4685,39.9555,107.1783,81.3196,79.6491
