正股,美團點評

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,51.9914,65.3527,56.4706,65.3204,57.9077
21/01/2021,55.1471,65.6611,56.5964,65.9957,58.2136
20/01/2021,57.5245,66.8194,56.6625,66.0134,58.2111
19/01/2021,53.1933,57.0851,52.2061,64.0582,56.7400
18/01/2021,54.7320,53.7962,52.0183,63.3882,56.7605
15/01/2021,47.6625,48.0279,49.9196,62.7251,56.8458
14/01/2021,50.2384,47.1040,51.1651,62.5778,56.7515
13/01/2021,48.4497,46.0600,48.6572,61.8931,56.4163
12/01/2021,49.6319,47.8330,52.9799,61.7429,56.5343
11/01/2021,50.3310,62.3710,52.6316,62.4112,56.6273
08/01/2021,49.3818,62.5047,53.7636,62.1523,56.8009
07/01/2021,50.1370,63.2171,53.9783,61.8430,56.7075
06/01/2021,52.9926,63.3355,54.1341,61.9185,57.1873
05/01/2021,48.3966,60.5864,52.6306,61.3273,56.7354
04/01/2021,48.0676,62.1996,53.4621,61.2869,56.9671
31/12/2020,45.9562,62.5584,53.7515,61.7035,58.5089
30/12/2020,44.5744,62.1824,53.3198,62.2913,58.8319
29/12/2020,44.3913,58.4097,52.6009,61.5195,58.2800
28/12/2020,44.8537,52.2427,51.7560,60.9753,57.7772
24/12/2020,41.6639,42.9499,51.6639,59.0801,57.7433
23/12/2020,41.9694,40.6382,53.6474,58.8551,57.5384
22/12/2020,40.7391,34.5186,60.4162,58.7493,57.5493
21/12/2020,42.8441,36.1811,68.1894,59.5850,57.5703
18/12/2020,38.1304,37.5790,68.7931,59.8684,57.7133
17/12/2020,42.1178,42.9841,68.5847,59.6247,57.6812
16/12/2020,41.6916,42.0968,70.0114,59.5094,57.6010
15/12/2020,41.3931,45.3801,72.0885,59.4189,57.5423
14/12/2020,44.0336,43.1766,71.6274,59.4211,57.2984
11/12/2020,43.8759,53.5879,71.0191,58.8838,56.8553
10/12/2020,43.9150,52.1915,71.2481,58.7465,58.3372
09/12/2020,43.7868,59.1536,73.4283,58.7544,58.7317
08/12/2020,46.3274,61.1310,74.8732,59.2675,58.8157
07/12/2020,47.1880,59.7819,74.8001,59.1870,58.7768
04/12/2020,48.7419,60.1575,74.8947,59.2622,58.6184
03/12/2020,44.5957,57.6806,73.7582,59.3123,58.3928
02/12/2020,45.9177,58.1062,74.2318,60.3710,58.6552
01/12/2020,48.1559,55.2336,73.1284,59.7553,58.7085
30/11/2020,53.8133,59.6758,73.6195,60.3108,58.9222
27/11/2020,54.3092,52.3533,69.9466,58.5566,58.6114
26/11/2020,53.2283,61.0796,71.7010,58.8906,60.1230
25/11/2020,50.8098,62.8818,70.4852,58.6965,59.7740
24/11/2020,51.7825,82.2572,69.6945,58.4557,59.5994
23/11/2020,54.5641,100.0145,69.6164,59.0477,61.2443
20/11/2020,54.3023,100.9945,69.6115,59.0152,61.2692
19/11/2020,54.5066,98.3067,69.0603,59.0556,61.6142
18/11/2020,57.9346,102.7064,69.3879,61.0750,61.5273
17/11/2020,63.8393,107.3891,70.3650,61.5848,61.5135
16/11/2020,69.6867,103.3614,68.2933,60.5747,61.2830
13/11/2020,66.3978,102.1215,67.9475,60.2964,62.1913
12/11/2020,66.3378,97.9348,66.0489,60.7613,61.6978
11/11/2020,62.7312,98.4607,64.4602,59.8102,61.0668
10/11/2020,61.1323,84.3908,56.8239,56.0160,59.2635
09/11/2020,60.1784,48.7814,47.2854,50.5135,56.1473
06/11/2020,54.8933,54.7700,47.4407,50.7160,56.0730
05/11/2020,58.5613,53.6891,47.1490,50.9398,56.1633
04/11/2020,59.3880,51.6652,45.7460,50.1513,55.8964
03/11/2020,55.2994,46.6828,43.2258,48.9164,55.1878
02/11/2020,52.1081,50.6961,44.5676,48.9435,55.4275
30/10/2020,51.3294,50.3601,44.4729,48.8170,55.5376
29/10/2020,52.1612,55.1200,43.2132,50.8616,55.1921
