正股,金山軟件有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,63.0027,47.8856,57.7904,56.3292,54.5151
21/01/2021,64.6268,54.2445,58.5705,56.9578,54.7865
20/01/2021,65.5006,54.7661,58.2411,56.9003,54.7674
19/01/2021,62.5138,51.1398,57.3765,56.5412,54.7667
18/01/2021,66.9616,50.3492,57.1322,56.3657,55.6827
15/01/2021,62.2867,62.2945,56.5162,55.9087,55.3609
14/01/2021,63.3750,62.9428,56.8640,56.1353,55.3889
13/01/2021,63.8070,79.0675,56.5376,56.3610,55.7320
12/01/2021,68.4530,72.6418,55.2842,55.9685,55.5008
11/01/2021,70.1835,77.3657,55.1515,58.3469,56.3854
08/01/2021,68.0130,73.5405,54.2631,58.0898,57.3380
07/01/2021,63.9619,73.9089,53.2919,56.9930,56.6044
06/01/2021,60.3897,76.5585,53.4759,57.4824,58.2975
05/01/2021,60.1015,79.8030,55.1141,57.4414,58.8304
04/01/2021,58.9378,83.1360,54.8985,57.4220,58.8190
31/12/2020,55.1709,73.8426,49.4099,54.3484,56.7317
30/12/2020,55.1975,73.3873,50.3696,55.9677,56.8753
29/12/2020,50.7895,45.3720,36.8506,50.9963,53.6583
28/12/2020,48.8458,43.7440,37.9785,50.7641,54.5678
24/12/2020,47.3058,42.3990,37.5589,50.9956,55.0386
23/12/2020,47.4306,42.4637,40.8228,50.9934,55.0375
22/12/2020,47.1615,29.2730,41.5803,49.7475,54.1438
21/12/2020,47.4836,27.7865,46.2454,50.0375,54.0056
18/12/2020,43.1509,27.6661,46.0927,49.9446,54.3527
17/12/2020,43.6244,22.0204,45.6653,49.5457,54.3615
16/12/2020,46.7861,30.3763,52.5609,50.6233,54.3663
15/12/2020,46.7158,30.7952,52.2979,50.6205,54.7243
14/12/2020,47.5499,30.4116,52.3498,51.1348,54.9235
11/12/2020,45.8553,30.2962,52.5562,51.0923,55.2703
10/12/2020,47.3674,30.6935,52.7281,51.5174,55.2486
09/12/2020,47.1761,30.6664,53.3795,51.9006,56.0928
08/12/2020,49.5502,30.0165,54.8191,52.2436,56.1242
07/12/2020,49.0465,31.2751,54.8685,52.1901,56.2697
04/12/2020,49.4009,34.8729,54.9526,52.6670,56.5594
03/12/2020,50.9039,35.9957,54.8749,54.0105,58.1839
02/12/2020,50.0324,24.8942,53.8197,53.5850,57.7689
01/12/2020,51.8919,29.2702,54.5418,53.5804,60.5647
30/11/2020,51.5889,29.2117,54.9294,54.0257,60.7483
27/11/2020,51.2365,39.0618,54.9228,54.0112,61.5535
26/11/2020,52.7220,39.5318,59.4446,56.0246,63.3307
25/11/2020,53.2088,50.6101,59.5176,57.4596,63.3316
24/11/2020,52.9845,60.1235,59.3360,57.3897,63.3190
23/11/2020,53.9008,69.4538,60.7206,60.1325,68.8759
20/11/2020,53.2817,68.2667,59.8181,60.4144,68.6387
19/11/2020,53.4135,68.2493,59.6636,60.3269,69.5223
18/11/2020,52.6685,82.8769,59.4895,60.1919,69.6332
17/11/2020,61.7164,79.6682,61.9106,60.2300,69.3546
16/11/2020,63.1330,80.0329,62.5190,60.6232,70.3621
13/11/2020,60.3216,78.5326,61.5611,61.5001,72.4292
12/11/2020,61.5790,79.0485,62.1947,62.2558,72.5064
11/11/2020,60.4465,74.5792,60.1958,61.2138,72.0034
10/11/2020,59.5109,69.8231,57.1884,59.6947,71.1071
09/11/2020,59.1135,52.4697,53.5624,57.5664,70.4208
06/11/2020,57.4404,54.6539,53.5331,58.2084,70.4295
05/11/2020,56.2397,55.0850,53.5195,58.5244,70.4052
04/11/2020,54.1389,40.5198,49.4717,55.6670,69.3412
03/11/2020,54.9151,42.6541,49.7654,56.2953,69.5419
02/11/2020,54.5860,44.4099,50.7425,56.5576,69.7913
30/10/2020,53.9325,43.0314,50.4841,57.0120,70.1388
29/10/2020,54.4104,59.4575,51.0754,56.8948,70.0773
