正股,招商銀行股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,38.2545,53.0447,40.2304,40.4670,38.6397
21/01/2021,40.0406,40.6059,36.1997,39.0869,37.4891
20/01/2021,39.0691,45.7475,36.8876,39.7504,37.5604
19/01/2021,39.1558,44.8219,39.8007,39.7830,37.5610
18/01/2021,42.1098,44.4371,39.8051,39.9768,37.8141
15/01/2021,43.3801,52.8563,40.0255,39.9949,37.6994
14/01/2021,38.6170,47.8710,36.2410,38.1435,36.3760
13/01/2021,40.0392,47.0031,36.4769,38.1611,36.3812
12/01/2021,42.2136,45.7724,39.0398,39.2052,36.3164
11/01/2021,42.4182,45.4076,39.1323,38.9944,36.1707
08/01/2021,39.2997,40.8807,36.4497,37.9277,35.9408
07/01/2021,39.9921,40.5397,35.9073,37.7485,35.9417
06/01/2021,36.2623,32.3111,31.8965,36.6791,34.9372
05/01/2021,35.3248,29.3793,30.7935,36.4874,34.8077
04/01/2021,35.8462,29.2201,30.3464,36.3720,34.7350
31/12/2020,33.1633,21.2371,28.0441,35.1537,33.9291
30/12/2020,33.0790,22.4040,29.7581,35.3896,33.9830
29/12/2020,33.9734,22.2877,30.1640,35.3731,34.2651
28/12/2020,34.7365,22.9862,30.3308,35.5165,34.3248
24/12/2020,32.1712,21.0163,29.9362,38.0423,34.2522
23/12/2020,31.9756,18.8741,30.7936,37.9962,34.9766
22/12/2020,33.1433,18.9978,31.6631,37.9971,35.0900
21/12/2020,32.9344,19.1410,32.7337,38.0592,34.9774
18/12/2020,30.6740,27.8772,33.3105,38.1174,34.9789
17/12/2020,30.8551,28.6288,33.0981,37.9887,35.5361
16/12/2020,31.3079,28.8015,33.7388,38.0217,35.4265
15/12/2020,32.2119,29.2644,37.7826,38.0332,35.4520
14/12/2020,31.9344,31.5026,37.5944,38.0100,35.4138
11/12/2020,30.7242,37.4821,39.5710,38.0390,35.4901
10/12/2020,32.5405,41.7143,41.3475,38.0841,36.1457
09/12/2020,32.1856,42.3889,41.3182,38.0712,36.1469
08/12/2020,33.3303,42.0442,42.0042,38.1262,36.1605
07/12/2020,33.3035,42.1795,42.7581,38.0258,36.2786
04/12/2020,32.6398,35.8243,40.4124,36.7091,35.4868
03/12/2020,33.4012,35.7815,40.8125,37.1069,35.4604
02/12/2020,34.5219,34.9244,40.6422,36.8231,35.3443
01/12/2020,34.5522,37.9586,40.5266,36.7450,35.5783
30/11/2020,34.8009,37.8589,40.3882,36.6376,35.5191
27/11/2020,34.4002,27.6077,39.5822,35.1893,34.6867
26/11/2020,34.0313,25.1107,39.1522,34.9318,34.3982
25/11/2020,34.5488,29.9431,39.4907,35.9691,34.5267
24/11/2020,33.1602,32.5374,39.4711,36.1773,34.5400
23/11/2020,33.0668,33.5507,39.5974,36.3055,34.3928
20/11/2020,32.7060,34.3582,40.0460,36.5381,34.5322
19/11/2020,33.2733,34.6957,39.5921,36.4684,34.5722
18/11/2020,34.3859,34.7551,39.4132,36.3601,34.5053
17/11/2020,34.6615,41.9542,39.0515,35.9590,34.7121
16/11/2020,33.8972,42.2532,38.9951,36.2823,34.7179
13/11/2020,33.6818,45.5190,39.1709,36.3506,34.6799
12/11/2020,31.7018,51.7170,44.2801,36.3621,34.8337
11/11/2020,33.1919,45.9370,42.7301,36.7601,39.3075
10/11/2020,32.1288,49.6548,42.4848,36.6470,39.6979
09/11/2020,32.0784,52.7703,42.6247,36.2219,39.4120
06/11/2020,32.0782,52.2404,42.5665,36.0190,39.3034
05/11/2020,32.0100,52.2241,42.5166,36.8847,39.2175
04/11/2020,33.8447,51.7160,42.4094,36.5126,39.0528
03/11/2020,35.2227,41.8909,38.8984,34.5070,37.7235
02/11/2020,36.4272,42.3715,38.9928,34.5207,37.7782
30/10/2020,37.8871,44.0240,36.7820,33.3321,37.1238
29/10/2020,36.2586,38.3634,35.1870,33.5611,36.6035
