正股,中國銀行股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,23.0751,16.9721,16.0803,21.2283,21.4988
21/01/2021,24.1103,8.1953,14.3515,20.6640,21.0292
20/01/2021,24.8623,8.9547,15.5258,20.8316,21.1383
19/01/2021,24.8291,9.6670,15.6922,20.8329,21.1482
18/01/2021,25.2108,8.8695,15.1163,20.9935,21.8250
15/01/2021,24.8255,13.2959,15.2722,20.9999,21.8250
14/01/2021,23.6011,13.1265,15.1343,21.2429,21.8143
13/01/2021,24.5766,12.7052,15.1491,21.2694,21.8065
12/01/2021,25.6504,12.7071,15.6552,22.1925,21.9103
11/01/2021,25.7583,14.1677,16.9605,22.3612,21.9537
08/01/2021,24.6751,16.1375,16.9583,22.3683,21.9696
07/01/2021,25.6906,18.2170,16.9560,22.3308,21.9495
06/01/2021,24.1599,17.7631,17.2255,23.7746,21.9815
05/01/2021,23.5400,18.9147,17.2154,23.7818,21.9126
04/01/2021,24.2436,18.6506,17.0964,23.7343,21.8381
31/12/2020,24.0576,17.2334,17.3396,23.5146,21.6835
30/12/2020,24.4793,17.2934,17.3396,23.7006,21.6923
29/12/2020,24.3435,17.3897,17.9014,23.6987,21.7240
28/12/2020,24.4450,18.2112,17.8987,23.7004,21.8002
24/12/2020,22.4967,16.0503,18.2022,23.8149,21.6412
23/12/2020,21.8109,10.8906,17.5252,23.6215,21.4709
22/12/2020,23.1710,13.0609,20.8026,23.4964,21.3936
21/12/2020,22.0127,14.5512,21.5882,23.9072,21.4189
18/12/2020,19.3525,14.1787,21.8792,23.8390,21.4214
17/12/2020,20.3336,14.2812,22.2425,23.7948,21.4209
16/12/2020,20.9652,14.2606,22.3517,23.8005,21.3799
15/12/2020,20.7474,13.5668,22.3765,23.8016,21.4626
14/12/2020,22.0895,14.2358,22.7557,23.8518,21.4920
11/12/2020,20.7274,14.7711,24.1272,23.9655,21.4150
10/12/2020,23.3462,19.6370,25.3728,24.0034,21.7528
09/12/2020,21.5931,19.5658,25.6135,23.8722,21.7069
08/12/2020,22.3146,18.9860,25.7314,23.7732,21.6676
07/12/2020,23.2731,17.3074,25.3336,23.5696,21.5873
04/12/2020,21.9659,17.7044,25.2126,23.5278,21.5570
03/12/2020,21.9024,18.8296,25.7428,24.5894,21.5650
02/12/2020,22.3902,20.8144,25.5865,24.5221,21.5255
01/12/2020,22.9295,20.7507,26.0763,24.5256,21.8593
30/11/2020,21.0680,22.0519,26.1255,24.5270,21.8884
27/11/2020,22.7159,20.3329,26.9851,24.4608,21.8904
26/11/2020,22.1932,20.5786,26.8013,24.1655,21.6070
25/11/2020,22.9392,21.3230,26.8115,24.1995,21.5780
24/11/2020,21.4904,29.2794,26.7835,24.1797,21.5483
23/11/2020,21.1514,30.3299,28.7086,24.1179,21.4771
20/11/2020,21.1012,30.7517,28.8557,24.0366,21.4202
19/11/2020,21.2472,30.4791,28.5406,23.9304,21.3496
18/11/2020,21.4753,27.7471,27.7392,23.5993,21.1375
17/11/2020,23.8034,28.1155,28.1824,23.6060,21.2677
16/11/2020,23.8933,28.2029,28.0502,23.4970,21.1808
13/11/2020,21.6524,30.7408,28.0498,23.6177,21.1941
12/11/2020,22.0733,31.4345,27.6545,23.1502,25.3647
11/11/2020,23.0507,30.9260,26.9087,22.9167,26.4060
10/11/2020,21.2154,28.8657,25.3767,21.7240,25.9806
09/11/2020,21.9097,28.9493,25.9644,21.4614,26.2159
06/11/2020,21.1719,28.0783,25.8732,21.3655,26.0947
05/11/2020,21.5658,28.7348,25.6067,21.1888,25.9624
04/11/2020,24.2599,28.2243,25.5497,21.0486,25.8815
03/11/2020,27.0616,29.3778,25.5295,21.1673,25.8947
02/11/2020,28.4656,28.4036,25.2554,20.9521,25.7696
30/10/2020,28.6297,28.2764,23.7268,19.7957,25.1238
29/10/2020,25.5534,26.0458,22.8468,19.8215,24.8766
