正股,中信証券股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,45.7798,60.9667,38.5225,34.6345,32.8777
21/01/2021,47.1768,51.0914,34.6034,32.5016,31.4505
20/01/2021,49.7749,49.8056,34.5375,33.7345,31.4679
19/01/2021,47.8040,49.8393,35.5120,33.6953,31.5384
18/01/2021,56.8015,48.5065,34.3219,32.9450,30.9936
15/01/2021,43.8056,47.5168,33.4547,32.6006,31.4353
14/01/2021,43.2028,49.3991,33.4516,32.6391,31.4434
13/01/2021,49.9547,43.6453,33.6276,31.9967,31.0114
12/01/2021,54.0767,40.7790,33.4082,32.2670,31.0048
11/01/2021,41.3022,27.2833,25.9440,28.2383,27.9145
08/01/2021,48.6336,26.3606,25.8930,28.2814,27.9340
07/01/2021,46.9202,26.8487,25.7322,28.1210,27.8435
06/01/2021,46.6426,29.3899,25.9337,28.8143,27.8416
05/01/2021,43.8627,29.6413,26.8342,28.8389,27.8190
04/01/2021,39.5144,27.8540,26.1099,28.7337,27.5119
31/12/2020,34.6624,28.9536,26.5223,28.7415,27.5295
30/12/2020,29.3072,22.9348,24.5637,27.8627,26.9106
29/12/2020,32.5138,21.2640,24.1100,27.6930,26.8343
28/12/2020,31.8664,18.0930,23.3981,27.4583,26.7351
24/12/2020,30.4474,14.7746,24.9215,27.0812,26.4996
23/12/2020,30.6885,14.7206,24.9751,28.5962,27.5733
22/12/2020,31.8917,16.0307,24.9888,28.9808,27.5850
21/12/2020,32.8856,14.8896,24.4327,28.8042,27.4052
18/12/2020,29.1436,18.4653,27.8732,29.1971,27.6567
17/12/2020,30.5093,18.5374,27.8704,29.1943,27.7542
16/12/2020,28.2023,13.8459,28.0767,28.9934,27.7058
15/12/2020,29.2960,13.5815,28.1726,29.4075,28.4318
14/12/2020,28.0588,26.2094,29.1790,29.6467,29.9921
11/12/2020,28.8338,26.1958,29.1829,29.6481,30.0293
10/12/2020,30.7779,32.5461,30.5412,29.6391,30.0864
09/12/2020,31.8687,32.6114,30.5413,29.7693,30.1940
08/12/2020,33.0762,31.8944,30.2683,29.6686,30.1321
07/12/2020,34.9110,31.4369,32.7356,29.7227,30.1048
04/12/2020,36.1751,30.4375,32.0277,29.4436,30.6906
03/12/2020,38.2603,30.2133,31.9604,29.4194,30.7310
02/12/2020,38.0696,31.8616,32.2771,30.6158,30.8048
01/12/2020,39.5974,31.7010,32.3618,30.6393,32.9967
30/11/2020,38.2809,26.5356,30.4116,29.6028,32.6500
27/11/2020,36.0835,26.2492,31.3689,29.6694,33.0086
26/11/2020,34.3493,26.1659,30.4288,28.8473,32.6230
25/11/2020,33.9715,26.2315,30.5089,28.9160,34.5402
24/11/2020,34.4581,26.2311,30.4942,28.9204,34.5781
23/11/2020,35.4292,25.9173,31.8071,28.8507,36.3414
20/11/2020,34.1948,32.7148,30.8871,28.2984,36.0560
19/11/2020,33.2528,32.7652,31.5217,28.2875,36.6468
18/11/2020,34.6483,33.7471,31.2451,28.1922,36.6589
17/11/2020,36.0102,33.7599,31.2419,28.1982,37.1103
16/11/2020,36.4137,36.1002,31.2659,28.2911,37.3468
13/11/2020,35.6539,36.1320,31.3341,28.4448,39.4616
12/11/2020,37.2903,33.9966,29.2492,27.4438,40.3888
11/11/2020,38.8363,33.3308,31.6162,28.9145,48.6524
10/11/2020,39.6527,33.0305,32.4203,28.9095,50.3881
09/11/2020,41.4419,41.6704,32.6750,28.9106,53.0522
06/11/2020,34.8417,34.1132,30.9383,27.7785,52.6259
05/11/2020,34.4966,33.9699,30.9383,27.9138,54.5759
04/11/2020,36.2194,32.9580,30.3606,27.7313,54.4717
03/11/2020,39.3983,32.9470,31.0556,28.7624,54.4495
02/11/2020,38.9789,28.2345,30.5553,30.5736,54.2875
30/10/2020,36.4933,32.8761,30.5619,30.6207,54.3908
29/10/2020,37.2805,31.8902,29.2176,30.1145,54.3073
