正股,海通證券股份有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,44.0799,46.2771,32.1617,32.7203,30.5293
21/01/2021,47.1739,41.3000,30.3265,31.8011,29.8204
20/01/2021,48.3474,40.5167,29.8942,32.4123,29.7036
19/01/2021,47.8713,40.2082,30.0172,32.5713,29.8862
18/01/2021,50.6418,37.9824,29.7615,31.8901,29.4278
15/01/2021,44.7847,37.2935,29.2857,31.6523,29.5641
14/01/2021,45.6452,38.6568,29.4962,31.6371,29.5945
13/01/2021,49.4300,35.7348,32.0787,31.4843,29.4398
12/01/2021,53.7527,33.2680,32.4669,31.5997,29.4691
11/01/2021,41.1538,21.0967,27.6569,29.3179,27.6627
08/01/2021,43.0610,18.9280,27.6163,29.3512,27.6124
07/01/2021,42.7239,17.8807,27.3969,29.0822,27.4136
06/01/2021,42.8008,25.1191,27.2212,29.6969,27.3800
05/01/2021,38.2515,25.6734,27.6150,29.4444,27.3954
04/01/2021,36.7254,25.8192,27.6375,29.8412,27.3925
31/12/2020,37.0131,27.7079,32.2132,29.9948,27.4433
30/12/2020,31.3390,26.3385,31.2780,29.3950,26.9972
29/12/2020,31.7577,26.2020,31.2039,29.3789,27.1169
28/12/2020,31.6540,25.8121,31.1192,29.3015,27.2528
24/12/2020,31.5989,25.9192,32.2032,29.2733,27.6234
23/12/2020,31.3380,26.6733,32.1901,29.6313,29.0118
22/12/2020,32.0666,27.6041,32.2159,29.6213,28.9927
21/12/2020,32.7824,22.8957,31.1231,29.0249,28.7507
18/12/2020,30.9643,21.6729,32.7786,28.8455,28.6600
17/12/2020,30.7637,25.2553,32.7621,29.4121,28.8437
16/12/2020,30.6209,22.6514,33.1649,29.8146,28.6255
15/12/2020,29.2474,17.3662,32.5455,29.9674,28.6561
14/12/2020,29.7184,33.1833,32.8135,29.9551,29.4988
11/12/2020,29.2257,34.2014,33.7481,29.9273,29.5628
10/12/2020,29.4712,34.8938,33.7830,29.8786,29.5808
09/12/2020,31.5578,35.3017,33.5981,29.7773,29.8454
08/12/2020,32.3574,34.6306,33.4291,29.5869,29.7292
07/12/2020,33.0127,34.5734,34.7398,29.5821,29.8074
04/12/2020,33.5466,36.1631,35.1241,29.7912,30.6914
03/12/2020,36.2762,32.2311,34.3714,29.4631,30.4127
02/12/2020,37.2634,44.9767,34.3479,29.8987,30.4042
01/12/2020,39.1217,44.6726,34.1503,29.8569,32.3031
30/11/2020,34.8237,36.6536,31.0045,27.9758,31.2314
27/11/2020,35.0148,35.4324,31.0872,27.8481,31.4062
26/11/2020,33.3100,37.5762,31.2418,27.7722,31.2970
25/11/2020,32.6608,36.4205,31.1193,27.6082,32.1221
24/11/2020,34.7358,36.8181,30.9934,27.5368,32.0833
23/11/2020,35.6212,36.7332,32.3693,27.5348,33.7401
20/11/2020,33.0026,39.9601,31.4292,27.2524,33.6110
19/11/2020,32.8647,39.6079,32.2220,27.2018,34.0369
18/11/2020,32.8616,30.8046,28.1478,24.9685,33.0683
17/11/2020,31.9109,30.9444,27.9130,24.8415,33.9868
16/11/2020,32.9458,31.9009,27.9134,25.0939,34.1735
13/11/2020,32.8897,34.5300,27.8556,25.3507,35.7851
12/11/2020,36.1082,30.6778,26.3359,25.3176,36.2512
11/11/2020,37.1007,30.0094,26.8595,27.5624,45.5000
10/11/2020,38.6630,31.2132,26.8332,27.5201,46.6683
09/11/2020,40.3898,35.8714,26.9753,27.7606,49.9585
06/11/2020,32.2552,31.2768,24.8636,26.5874,49.7943
05/11/2020,32.1298,31.5328,26.1976,26.8701,50.3950
04/11/2020,33.4931,27.7828,26.4453,26.2126,50.3315
03/11/2020,35.9789,27.5268,27.7079,26.7106,50.3075
02/11/2020,36.3340,26.9812,27.3587,27.9725,50.2527
30/10/2020,34.4876,25.2186,26.1047,27.4469,50.0869
29/10/2020,33.4151,26.1822,25.9800,27.5173,50.1344
