正股,京東集團

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,47.2068,27.2034,41.5506,55.6232,48.1674
21/01/2021,48.0466,26.6237,41.5948,55.5870,48.0974
20/01/2021,49.5908,33.9387,41.9472,55.5183,48.0497
19/01/2021,48.7945,48.7602,41.5989,55.3636,48.0938
18/01/2021,50.9640,49.1567,41.9557,55.2981,48.0500
15/01/2021,47.8912,48.8696,42.0571,55.3446,48.0388
14/01/2021,48.9785,48.6803,42.9442,55.3034,48.7547
13/01/2021,49.9764,53.0934,42.7098,55.1884,48.8761
12/01/2021,50.8029,51.1881,42.5320,55.0745,50.2042
11/01/2021,51.4855,53.4434,42.6167,55.7403,50.2105
08/01/2021,51.2408,55.3950,42.3923,55.8166,50.1489
07/01/2021,49.8002,60.1934,42.5331,55.7674,50.3307
06/01/2021,51.2085,53.5338,40.9148,55.3738,49.8604
05/01/2021,46.4335,44.7053,35.3574,53.3119,49.2414
04/01/2021,46.1973,44.0547,35.2271,53.2111,49.1776
31/12/2020,43.9554,46.5199,35.9141,53.3672,49.5768
30/12/2020,44.2498,46.6580,35.7561,53.3266,49.7339
29/12/2020,42.0472,44.8345,38.7996,52.5000,49.1233
28/12/2020,44.0179,45.3507,42.2764,52.4755,49.6562
24/12/2020,42.4806,43.7705,47.6980,52.3585,51.6825
23/12/2020,41.8059,41.8554,51.7480,52.3481,51.4942
22/12/2020,38.6390,30.9334,57.0910,51.4196,50.7626
21/12/2020,38.8271,31.3178,62.8237,51.5074,50.7954
18/12/2020,36.3414,31.4019,62.7667,51.2940,50.6387
17/12/2020,38.6802,34.7130,62.7649,51.2790,50.6100
16/12/2020,37.6523,29.5840,67.5559,50.9051,50.5171
15/12/2020,38.0123,29.2678,67.7820,50.9019,50.7617
14/12/2020,41.5064,27.2193,67.3222,51.2150,50.4969
11/12/2020,37.5422,26.9671,67.3358,51.1609,50.4021
10/12/2020,39.5462,26.3062,67.3830,51.4371,50.4793
09/12/2020,38.6988,27.5650,67.4100,51.4209,50.6048
08/12/2020,39.6609,27.6334,67.3953,51.3170,50.5207
07/12/2020,40.3897,28.0109,67.1445,51.1532,50.3862
04/12/2020,40.3875,29.2964,67.1214,51.3644,50.2870
03/12/2020,40.4550,27.1285,66.7852,51.1615,50.3326
02/12/2020,39.2115,27.6092,66.7814,51.0874,50.2928
01/12/2020,38.5508,23.9032,66.1676,51.7509,50.2840
30/11/2020,38.7315,43.7353,66.0977,52.0267,50.2496
27/11/2020,39.9111,53.9569,65.9951,53.9666,50.9432
26/11/2020,41.6066,66.2937,67.0986,53.9384,51.5038
25/11/2020,40.2245,74.4995,67.3414,53.9336,51.4992
24/11/2020,43.6591,92.5625,67.1355,54.1343,51.5013
23/11/2020,42.2638,104.6267,67.5257,54.1031,51.7448
20/11/2020,43.5100,103.7028,67.2359,55.1413,51.6276
19/11/2020,44.9881,103.2209,67.1990,55.1166,52.5636
18/11/2020,47.0936,113.8667,66.9469,55.3877,52.5035
17/11/2020,51.3436,114.2500,66.8842,55.5939,52.6449
16/11/2020,63.8011,105.1859,62.5525,53.1779,52.2712
13/11/2020,57.3231,102.7065,60.9819,52.8383,51.6615
12/11/2020,53.5798,96.0170,57.3362,53.7887,50.2571
11/11/2020,53.1983,86.9995,53.8008,51.8046,49.1622
10/11/2020,53.2826,71.0989,45.5020,47.4055,46.1656
09/11/2020,48.3162,46.6614,35.5147,42.8383,43.2376
06/11/2020,47.8204,50.0404,35.4963,42.9065,43.2296
05/11/2020,48.9548,49.3501,35.2180,42.8025,43.3788
04/11/2020,49.2845,23.0548,25.6971,39.5786,40.8963
03/11/2020,48.1359,19.8994,25.2395,40.0174,40.8448
02/11/2020,48.3714,19.9768,28.1577,40.0169,40.8529
30/10/2020,46.8646,19.0926,28.1049,39.9317,41.0671
29/10/2020,46.5691,28.0009,28.8758,39.9692,41.0239
