正股,阿里巴巴

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,40.6784,55.0847,59.6639,56.9229,49.7234
21/01/2021,42.0918,49.6237,59.0556,56.8979,49.4958
20/01/2021,45.4020,53.6394,58.5893,56.7394,49.3239
19/01/2021,39.9676,39.8051,53.6074,53.9511,47.4778
18/01/2021,40.2240,42.5121,54.1275,53.8908,47.5245
15/01/2021,40.9868,44.8104,54.1879,53.8825,47.7857
14/01/2021,44.4611,43.9242,53.5842,53.5937,47.9305
13/01/2021,46.0126,48.4085,51.3511,52.5352,47.2776
12/01/2021,49.2923,55.4854,51.4257,52.8839,47.4697
11/01/2021,47.3320,71.2044,51.4896,53.5148,47.4711
08/01/2021,45.8173,82.3892,51.5918,53.7036,47.5925
07/01/2021,45.8005,81.4214,51.2474,53.5674,47.5392
06/01/2021,39.4973,79.9024,50.9147,53.2857,47.1151
05/01/2021,40.0739,76.9447,51.7390,52.8123,47.3431
04/01/2021,38.4472,76.8713,52.5095,52.7367,47.3586
31/12/2020,37.9720,79.1979,52.4380,53.0306,47.8760
30/12/2020,39.5230,80.2386,52.2979,52.9752,47.8312
29/12/2020,40.2023,71.3463,48.7456,51.4911,46.6146
28/12/2020,47.9683,60.3016,45.2662,50.7271,45.6609
24/12/2020,37.5489,50.7243,39.3656,47.9660,43.9931
23/12/2020,31.6546,30.7304,31.2350,44.9560,41.6816
22/12/2020,32.0547,31.7295,43.4155,45.0124,41.6919
21/12/2020,32.8545,31.7719,45.7131,45.2333,41.8126
18/12/2020,30.7886,31.9168,46.4315,45.0550,41.6400
17/12/2020,29.9226,34.7239,47.8903,45.0755,41.6181
16/12/2020,30.7812,31.6830,50.7607,45.0658,41.6359
15/12/2020,32.4285,29.2819,54.7455,44.8752,41.8166
14/12/2020,32.0752,28.3337,54.6606,44.8135,41.6559
11/12/2020,30.5266,29.3632,54.6173,44.7213,41.4308
10/12/2020,31.9492,28.2749,54.9661,44.6496,41.7520
09/12/2020,30.2490,27.4162,54.8597,44.4858,41.5946
08/12/2020,30.9016,26.6632,55.3561,44.5103,41.5651
07/12/2020,32.0799,29.9723,55.4442,44.5121,41.5808
04/12/2020,31.7906,35.0248,55.1761,44.5355,41.4039
03/12/2020,32.1348,36.1636,54.4639,44.3272,41.3688
02/12/2020,33.2380,38.0626,54.3598,44.7306,41.3478
01/12/2020,34.5890,37.6753,54.4793,45.3056,41.6759
30/11/2020,35.3020,37.7446,54.5529,45.4497,41.5925
27/11/2020,34.6167,33.9234,54.8892,45.4778,41.7037
26/11/2020,34.6103,34.3159,56.2300,45.4737,43.3229
25/11/2020,35.5073,34.8735,56.5263,45.6608,43.3116
24/11/2020,36.7751,65.9263,56.4776,45.6797,43.4238
23/11/2020,36.2939,68.8369,56.3874,45.4223,43.9154
20/11/2020,37.1109,66.1566,54.7487,45.3490,43.3839
19/11/2020,35.7373,63.3873,53.7570,45.0189,44.1193
18/11/2020,38.1092,74.9675,54.4906,45.8448,44.0049
17/11/2020,39.4230,81.9984,54.4810,45.8777,44.1863
16/11/2020,48.4305,82.9723,54.8982,45.7503,46.9621
13/11/2020,45.4320,84.4989,56.0691,45.7673,47.0617
12/11/2020,46.3772,83.2807,55.9048,46.2929,47.2610
11/11/2020,52.7574,80.8093,55.9825,46.2732,47.2861
10/11/2020,40.7006,68.9505,46.9224,40.9003,44.0342
09/11/2020,37.2785,64.6197,44.6485,39.4455,43.1409
06/11/2020,40.3022,62.1759,43.9975,39.0868,42.9308
05/11/2020,39.5951,58.4919,41.8124,37.8734,42.4456
04/11/2020,45.7660,47.0144,39.1341,36.4156,41.7008
03/11/2020,44.2791,25.4008,30.9509,33.0426,39.3567
02/11/2020,46.6042,25.7538,31.6527,33.0343,39.6542
30/10/2020,44.0457,29.3682,31.8701,32.9406,39.9546
29/10/2020,42.5231,33.8398,30.1777,32.7449,39.5126
