正股,網易

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,42.4049,35.3368,35.8276,39.4721,36.4783
21/01/2021,44.0979,41.4447,35.5265,39.7386,36.4494
20/01/2021,42.6726,42.0335,34.7107,39.2811,35.9962
19/01/2021,42.4256,43.0394,33.8820,39.0262,35.8679
18/01/2021,44.7160,43.2618,33.9151,39.0004,35.8347
15/01/2021,40.8274,43.2582,34.4732,39.0279,36.0297
14/01/2021,41.6229,43.0356,35.7947,39.1115,36.3247
13/01/2021,42.0971,42.9756,36.4542,39.1103,36.3159
12/01/2021,45.0502,36.6420,35.2334,38.6118,36.0082
11/01/2021,44.2751,27.6866,33.3961,38.8229,35.6898
08/01/2021,41.7949,33.5827,35.3470,38.8242,35.7290
07/01/2021,39.4459,28.3256,33.0396,37.5930,34.9152
06/01/2021,38.6023,26.3375,31.3431,37.1521,34.3176
05/01/2021,37.2503,20.9570,32.2302,36.8986,34.4307
04/01/2021,36.6959,19.8294,35.5625,37.3212,34.3276
31/12/2020,35.1573,27.7368,35.8731,37.3049,34.5838
30/12/2020,35.4788,28.3100,35.7920,37.2479,34.6110
29/12/2020,34.7685,27.8983,35.7739,37.1164,34.4954
28/12/2020,34.7319,29.1688,35.5807,37.9078,34.3906
24/12/2020,32.4792,28.9858,36.0530,37.9011,34.7525
23/12/2020,33.9425,36.2836,35.9990,37.8274,34.6236
22/12/2020,34.5644,35.7344,35.9313,37.6818,34.7482
21/12/2020,35.6923,36.8542,38.3894,37.7930,35.2262
18/12/2020,34.0344,36.5463,38.6914,37.6896,35.1540
17/12/2020,34.9639,36.8872,39.7979,37.8989,35.1688
16/12/2020,32.6804,30.1123,43.0643,36.8121,34.5536
15/12/2020,33.7529,32.6683,44.3815,36.8993,34.6552
14/12/2020,33.7835,33.0916,44.6242,37.1934,34.6487
11/12/2020,31.9663,32.9621,44.5306,37.4958,34.7565
10/12/2020,32.5046,33.2352,44.6089,37.5978,34.9673
09/12/2020,33.0915,29.8985,42.8826,36.4890,34.3505
08/12/2020,33.2280,29.1169,43.6315,36.4313,34.3261
07/12/2020,32.4184,27.4262,43.3329,36.1918,34.1474
04/12/2020,31.7171,38.0032,43.5267,36.4394,34.1316
03/12/2020,32.9532,47.9520,43.3933,36.3186,34.2404
02/12/2020,33.3044,47.8360,43.2037,36.4604,34.1882
01/12/2020,34.6927,45.1422,42.5206,36.4379,34.5201
30/11/2020,32.8239,44.3195,42.1279,36.2514,34.3846
27/11/2020,34.6223,44.2838,42.1694,36.2682,34.7034
26/11/2020,35.2691,46.0776,43.6742,36.4031,35.8782
25/11/2020,35.2692,41.7960,42.4579,35.8164,35.4256
24/11/2020,36.1554,41.4503,42.2231,35.9186,35.4348
23/11/2020,35.3337,49.5589,42.7258,35.8277,36.1299
20/11/2020,34.8576,44.6776,41.6061,35.5741,35.3326
19/11/2020,34.8931,34.6549,39.2867,33.5759,34.2427
18/11/2020,37.2219,52.5441,39.1112,33.9835,34.2289
17/11/2020,44.5828,55.7375,39.1162,34.1388,34.2862
16/11/2020,44.0867,55.9725,38.9934,34.0667,37.9416
13/11/2020,39.9725,56.3487,40.5926,34.0133,38.3012
12/11/2020,40.1721,55.4738,40.2354,34.3794,38.1548
11/11/2020,40.5781,55.1580,39.8873,34.1173,38.0893
10/11/2020,40.8816,57.0095,39.8068,34.3870,38.0690
09/11/2020,40.7298,50.8608,37.8278,33.8726,37.2722
06/11/2020,40.8264,51.1960,37.2653,33.5900,37.1610
05/11/2020,41.9397,47.1873,36.5546,32.9465,36.7536
04/11/2020,41.6961,30.9176,29.9180,29.8100,34.8006
03/11/2020,42.1440,22.6867,27.8051,28.8888,34.5100
02/11/2020,42.6258,22.6452,28.2714,28.7644,34.6751
30/10/2020,41.5744,22.8637,29.3979,29.0566,34.6240
29/10/2020,40.4934,29.1086,29.6557,29.4117,34.6899
